onset	duration	trial_type	stim_file	stim_file_index	note
183.017	0.3	3	task-sfprescaled_stimuli.npy	29	n/a
183.516	0.3	3	task-sfprescaled_stimuli.npy	27	n/a
184.017	0.3	31	task-sfprescaled_stimuli.npy	249	n/a
184.516	0.3	31	task-sfprescaled_stimuli.npy	255	n/a
185.017	0.3	31	task-sfprescaled_stimuli.npy	254	n/a
185.517	0.3	31	task-sfprescaled_stimuli.npy	252	n/a
186.016	0.3	31	task-sfprescaled_stimuli.npy	251	n/a
186.517	0.3	31	task-sfprescaled_stimuli.npy	253	n/a
187.017	0.3	31	task-sfprescaled_stimuli.npy	248	n/a
187.516	0.3	31	task-sfprescaled_stimuli.npy	250	n/a
188.003	0.3	29	task-sfprescaled_stimuli.npy	233	n/a
188.503	0.3	29	task-sfprescaled_stimuli.npy	234	n/a
189.003	0.3	29	task-sfprescaled_stimuli.npy	232	n/a
189.503	0.3	29	task-sfprescaled_stimuli.npy	235	n/a
190.003	0.3	29	task-sfprescaled_stimuli.npy	236	n/a
190.503	0.3	29	task-sfprescaled_stimuli.npy	239	n/a
191.003	0.3	29	task-sfprescaled_stimuli.npy	237	n/a
191.503	0.3	29	task-sfprescaled_stimuli.npy	238	n/a
192.003	0.3	2	task-sfprescaled_stimuli.npy	21	n/a
192.503	0.3	2	task-sfprescaled_stimuli.npy	23	n/a
193.004	0.3	2	task-sfprescaled_stimuli.npy	22	n/a
193.504	0.3	2	task-sfprescaled_stimuli.npy	17	n/a
194.004	0.3	2	task-sfprescaled_stimuli.npy	18	n/a
194.505	0.3	2	task-sfprescaled_stimuli.npy	19	n/a
195.004	0.3	2	task-sfprescaled_stimuli.npy	16	n/a
195.504	0.3	2	task-sfprescaled_stimuli.npy	20	n/a
196.004	0.3	35	task-sfprescaled_stimuli.npy	283	n/a
196.505	0.3	35	task-sfprescaled_stimuli.npy	284	n/a
197.004	0.3	35	task-sfprescaled_stimuli.npy	285	n/a
197.505	0.3	35	task-sfprescaled_stimuli.npy	280	n/a
198.007	0.3	35	task-sfprescaled_stimuli.npy	286	n/a
198.506	0.3	35	task-sfprescaled_stimuli.npy	287	n/a
199.007	0.3	35	task-sfprescaled_stimuli.npy	282	n/a
199.506	0.3	35	task-sfprescaled_stimuli.npy	281	n/a
200.007	0.3	28	task-sfprescaled_stimuli.npy	224	n/a
200.506	0.3	28	task-sfprescaled_stimuli.npy	227	n/a
