onset	duration	stim_filename	verbal_resp	key_resp	event_type
815.393	5	L71	NaN	1	RETENTION_BRAND
821.541	0	L71	NaN	NaN	KEYRESP_BRAND
824.393	0	L162	NaN	2	STIM_BRAND
825.393	5	L162	NaN	2	RETENTION_BRAND
831.072	0	L162	NaN	NaN	KEYRESP_BRAND
834.393	0	L265	NaN	1	STIM_BRAND
835.393	5	L265	NaN	1	RETENTION_BRAND
842.301	0	L265	NaN	NaN	KEYRESP_BRAND
844.393	0	L389	NaN	1	STIM_BRAND
845.393	5	L389	NaN	1	RETENTION_BRAND
852.022	0	L389	NaN	NaN	KEYRESP_BRAND
853.893	0	L252	NaN	1	STIM_BRAND
854.893	5	L252	NaN	1	RETENTION_BRAND
861.024	0	L252	NaN	NaN	KEYRESP_BRAND
863.393	0	L151	NaN	2	STIM_BRAND
864.393	5	L151	NaN	2	RETENTION_BRAND
870.903	0	L151	NaN	NaN	KEYRESP_BRAND
872.893	0	L268	NaN	1	STIM_BRAND
873.893	5	L268	NaN	1	RETENTION_BRAND
880.594	0	L268	NaN	NaN	KEYRESP_BRAND
881.893	0	L401	NaN	2	STIM_BRAND
882.893	5	L401	NaN	2	RETENTION_BRAND
889.376	0	L401	NaN	NaN	KEYRESP_BRAND
890.893	0	L295	NaN	2	STIM_BRAND
891.893	5	L295	NaN	2	RETENTION_BRAND
897.619	0	L295	NaN	NaN	KEYRESP_BRAND
900.393	0	L144	NaN	2	STIM_BRAND
901.393	5	L144	NaN	2	RETENTION_BRAND
907.227	0	L144	NaN	NaN	KEYRESP_BRAND
910.393	0	L8	NaN	1	STIM_BRAND
911.393	5	L8	NaN	1	RETENTION_BRAND
916.989	0	L8	NaN	NaN	KEYRESP_BRAND
919.393	0	L417	NaN	1	STIM_BRAND
920.393	5	L417	NaN	1	RETENTION_BRAND
926.935	0	L417	NaN	NaN	KEYRESP_BRAND
929.394	0	L426	NaN	2	STIM_BRAND
930.394	5	L426	NaN	2	RETENTION_BRAND
936.319	0	L426	NaN	NaN	KEYRESP_BRAND
938.394	0	L203	NaN	1	STIM_BRAND
939.394	5	L203	NaN	1	RETENTION_BRAND
944.994	0	L203	NaN	NaN	KEYRESP_BRAND
947.894	0	L218	NaN	1	STIM_BRAND
948.894	5	L218	NaN	1	RETENTION_BRAND
955.399	0	L218	NaN	NaN	KEYRESP_BRAND
957.394	0	L348	NaN	1	STIM_BRAND
958.394	5	L348	NaN	1	RETENTION_BRAND
964.519	0	L348	NaN	NaN	KEYRESP_BRAND
966.894	0	L318	NaN	2	STIM_BRAND
967.894	5	L318	NaN	2	RETENTION_BRAND
973.936	0	L318	NaN	NaN	KEYRESP_BRAND
975.894	0	L264	NaN	2	STIM_BRAND
976.894	5	L264	NaN	2	RETENTION_BRAND
982.982	0	L264	NaN	NaN	KEYRESP_BRAND
985.394	0	L363	NaN	1	STIM_BRAND
986.394	5	L363	NaN	1	RETENTION_BRAND
992.238	0	L363	NaN	NaN	KEYRESP_BRAND
995.394	0	L40	NaN	2	STIM_BRAND
996.394	5	L40	NaN	2	RETENTION_BRAND
1002.175	0	L40	NaN	NaN	KEYRESP_BRAND
1005.394	0	L88	NaN	1	STIM_BRAND
1006.394	5	L88	NaN	1	RETENTION_BRAND
1012.872	0	L88	NaN	NaN	KEYRESP_BRAND
1015.394	0	L433	NaN	1	STIM_BRAND
1016.394	5	L433	NaN	1	RETENTION_BRAND
1022.501	0	L433	NaN	NaN	KEYRESP_BRAND
1024.394	0	L279	NaN	2	STIM_BRAND
1025.394	5	L279	NaN	2	RETENTION_BRAND
1031.264	0	L279	NaN	NaN	KEYRESP_BRAND
1033.894	0	L429	NaN	1	STIM_BRAND
1034.894	5	L429	NaN	1	RETENTION_BRAND
1041.58	0	L429	NaN	NaN	KEYRESP_BRAND
1043.394	0	L432	NaN	1	STIM_BRAND
1044.394	5	L432	NaN	1	RETENTION_BRAND
1051.229	0	L432	NaN	NaN	KEYRESP_BRAND
1053.394	0	L173	NaN	2	STIM_BRAND
1054.394	5	L173	NaN	2	RETENTION_BRAND
1060.759	0	L173	NaN	NaN	KEYRESP_BRAND
1062.394	0	L316	NaN	1	STIM_BRAND
1063.394	5	L316	NaN	1	RETENTION_BRAND
1069.242	0	L316	NaN	NaN	KEYRESP_BRAND
1072.394	0	L141	NaN	2	STIM_BRAND
1073.394	5	L141	NaN	2	RETENTION_BRAND
