onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
1186.0615	10	speech	1	11860615	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_052_peaky_diotic_regress.hdf5	n/a	n/a
1196.1524	10	speech	1	11961524	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_040_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_367_peaky_diotic_regress.hdf5	n/a
1206.222	10	speech	1	12062220	5	-6 dB	1	2	n/a	speech/alice/alice_034_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_169_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_120_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_283_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_088_peaky_diotic_regress.hdf5
1216.3129	10	speech	1	12163129	3	-3 dB	1	2	n/a	speech/alice/alice_343_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_070_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_341_peaky_diotic_regress.hdf5	n/a	n/a
1226.3825	10	speech	1	12263825	2	0 dB	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_125_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_242_peaky_diotic_regress.hdf5
1236.4521	10	speech	1	12364521	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_284_peaky_diotic_regress.hdf5	n/a
1246.5217	10	speech	1	12465217	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_204_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_327_peaky_diotic_regress.hdf5	n/a
1256.6126	10	speech	1	12566126	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_116_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_318_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_198_peaky_diotic_regress.hdf5
1266.6822	10	speech	1	12666822	1	clean	1	2	n/a	n/a	speech/peterpan/peterpan_345_peaky_diotic_regress.hdf5	n/a	n/a	n/a
1276.7731	10	speech	1	12767731	5	-6 dB	1	2	n/a	speech/alice/alice_129_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_087_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_323_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_154_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_285_peaky_diotic_regress.hdf5
1286.8427	10	speech	1	12868427	5	-6 dB	1	2	n/a	speech/alice/alice_216_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_065_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_096_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_388_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_190_peaky_diotic_regress.hdf5
1296.9123	10	speech	1	12969123	1	clean	1	2	n/a	n/a	speech/peterpan/peterpan_031_peaky_diotic_regress.hdf5	n/a	n/a	n/a
1306.9819	10	speech	1	13069819	3	-3 dB	1	2	n/a	speech/alice/alice_307_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_017_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_263_peaky_diotic_regress.hdf5
1317.0728	10	speech	1	13170728	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_383_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_357_peaky_diotic_regress.hdf5
