onset	duration	sample	trial_type	response_time	stim_file	value
1065.0551332925	1.0000000000	532527.5666	n/a	n/a	n/a	standard3
1065.2554861767	1.0000000000	532627.7431	n/a	n/a	n/a	ParTOO_WT1
1065.5284861767	1.0000000000	532764.2431	n/a	n/a	n/a	ExpTOO_WT1
1065.6294861767	1.0000000000	532814.7431	n/a	n/a	n/a	ParHSO_WT1
1065.9574861767	1.0000000000	532978.7431	n/a	n/a	n/a	ExpHSO_WT1
1066.2051502539	1.0000000000	533102.5751	n/a	n/a	n/a	standard3
1066.4104861767	1.0000000000	533205.2431	n/a	n/a	n/a	ParTOO_WT1
1066.7694861767	1.0000000000	533384.7431	n/a	n/a	n/a	ParHSO_WT1
1066.7844861767	1.0000000000	533392.2431	n/a	n/a	n/a	ExpTOO_WT1
1067.1051523935	1.0000000000	533552.5762	n/a	n/a	n/a	deviant3
1067.2234861767	1.0000000000	533611.7431	n/a	n/a	n/a	ExpHSO_WT1
1067.5504861767	1.0000000000	533775.2431	n/a	n/a	n/a	ParTOO_WT1
1067.9094861767	1.0000000000	533954.7431	n/a	n/a	n/a	ParHSO_WT1
1068.1184861767	1.0000000000	534059.2431	n/a	n/a	n/a	ExpTOO_WT1
1068.1251634812	1.0000000000	534062.5817	n/a	n/a	n/a	standard3
1068.5694861767	1.0000000000	534284.7431	n/a	n/a	n/a	ExpHSO_WT1
1068.7204861767	1.0000000000	534360.2431	n/a	n/a	n/a	ParTOO_WT1
1069.0874861767	1.0000000000	534543.7431	n/a	n/a	n/a	ParHSO_WT1
1069.4154861767	1.0000000000	534707.7431	n/a	n/a	n/a	ExpTOO_WT1
1069.5251719270	1.0000000000	534762.586	n/a	n/a	n/a	standard3
1069.8634861767	1.0000000000	534931.7431	n/a	n/a	n/a	ExpHSO_WT1
1069.8884861767	1.0000000000	534944.2431	n/a	n/a	n/a	ParTOO_WT1
1070.2494861767	1.0000000000	535124.7431	n/a	n/a	n/a	ParHSO_WT1
1070.7154861767	1.0000000000	535357.7431	n/a	n/a	n/a	ExpTOO_WT1
1071.0451956789	1.0000000000	535522.5978	n/a	n/a	n/a	standard3
1071.0654861767	1.0000000000	535532.7431	n/a	n/a	n/a	ParTOO_WT1
1071.1514861767	1.0000000000	535575.7431	n/a	n/a	n/a	ExpHSO_WT1
1071.4294861767	1.0000000000	535714.7431	n/a	n/a	n/a	ParHSO_WT1
1072.0104861767	1.0000000000	536005.2431	n/a	n/a	n/a	ExpTOO_WT1
1072.2434861767	1.0000000000	536121.7431	n/a	n/a	n/a	ParTOO_WT1
1072.4574861767	1.0000000000	536228.7431	n/a	n/a	n/a	ExpHSO_WT1
1072.5652118997	1.0000000000	536282.6059	n/a	n/a	n/a	standard3
1072.6074861767	1.0000000000	536303.7431	n/a	n/a	n/a	ParHSO_WT1
1073.0852175382	1.0000000000	536542.6088	n/a	n/a	n/a	standard3
1073.2994861767	1.0000000000	536649.7431	n/a	n/a	n/a	ExpTOO_WT1
1073.4104861767	1.0000000000	536705.2431	n/a	n/a	n/a	ParTOO_WT1
