onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
359.753	0.2	707	19	0	18	23	7	13	1	0	1	stim008_stimuli_original_animals_fish_4.png	U	0	0	0	406.031069915887	406.231073524279
360.153	0.2	708	19	0	18	24	11	7	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	J	0	0	0	406.43108274031	406.631084642024
360.553	0.2	709	19	0	18	25	13	4	0	1	0	stim014_stimuli_original_vehicles_planes_2.png	E	NaN	406.823688375822	1	406.83111897044	407.03112526075
360.953	0.2	710	19	0	18	26	1	6	0	0	0	stim002_stimuli_original_animals_birds_2.png	G	0	0	0	407.231133989146	407.431131989899
361.353	0.2	711	19	0	18	27	7	4	0	1	0	stim008_stimuli_original_animals_fish_4.png	E	0	0	0	407.6311412059	407.831141888571
361.753	0.2	712	19	0	18	28	12	10	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	Q	0	0	0	408.031141596002	408.231164709199
362.153	0.2	713	19	0	18	29	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	408.431170755677	408.63114876402
362.553	0.2	714	19	0	18	30	15	9	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	L	0	0	0	408.831157980021	409.031161588413
362.953	0.2	715	19	0	18	31	14	15	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	Y	0	0	0	409.231166415848	409.431175388076
363.353	0.2	716	19	0	18	32	0	1	0	0	0	stim001_stimuli_original_animals_birds_1.png	B	0	0	0	409.631178752636	409.831175778148
363.753	0.2	717	19	0	18	33	8	3	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	D	0	0	0	410.031216689473	410.231202012103
364.153	0.2	718	19	0	18	34	6	2	0	0	0	stim007_stimuli_original_animals_fish_3.png	C	0	0	0	410.431249993882	410.631230927975
364.553	0.2	719	19	0	18	35	5	4	0	0	0	stim006_stimuli_original_animals_fish_2.png	E	0	0	0	410.831235023972	411.031221565674
368.22	0.2	720	20	1	37	0	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	414.498011486372	414.698012900451
368.62	0.2	721	20	1	37	1	3	11	0	0	0	stim004_stimuli_original_animals_birds_4.png	R	0	0	0	414.898023335525	415.098024505802
369.02	0.2	722	20	1	37	2	8	14	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	V	0	0	0	415.298002514144	415.498010754935
369.42	0.2	723	20	1	37	3	0	10	0	0	0	stim001_stimuli_original_animals_birds_1.png	Q	0	0	0	415.698023871897	415.898027480289
369.82	0.2	724	20	1	37	4	13	3	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	D	0	0	0	416.098055957293	416.298039573274
370.22	0.2	725	20	1	37	5	10	13	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	U	0	0	0	416.498067075008	416.69808775009
370.62	0.2	726	20	1	37	6	15	4	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	E	0	0	0	416.898061369866	417.09806327158
371.02	0.2	727	20	1	37	7	14	7	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	J	0	0	0	417.29807053713	417.498093650298
371.42	0.2	728	20	1	37	8	5	2	0	0	0	stim006_stimuli_original_animals_fish_2.png	C	0	0	0	417.698103110131	417.898112569965
371.82	0.2	729	20	1	37	9	13	13	1	1	0	stim014_stimuli_original_vehicles_planes_2.png	U	0	0	0	418.098103500233	418.298118567676
372.22	0.2	730	20	1	37	10	9	8	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	K	0	0	0	418.498124614154	418.698129441589
372.62	0.2	731	20	1	37	11	13	13	1	1	1	stim014_stimuli_original_vehicles_planes_2.png	U	0	0	0	418.898135000461	419.098139584094
373.02	0.2	732	20	1	37	12	1	1	0	0	0	stim002_stimuli_original_animals_birds_2.png	B	NaN	419.498315761128	1	419.298151725816	419.498139730364
373.42	0.2	733	20	1	37	13	11	5	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	F	0	0	0	419.698163331166	419.898162063357
373.82	0.2	734	20	1	37	14	7	9	0	0	0	stim008_stimuli_original_animals_fish_4.png	L	0	0	0	420.098174448911	420.298179763951
374.22	0.2	735	20	1	37	15	4	15	0	0	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	420.49819263714	420.698186736932
374.62	0.2	736	20	1	37	16	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	420.898167670995	421.098172254628
