onset	duration	Event Type
2018.98	0	Response
2019.15	0	Response
2019.28	0	Response
2019.42	0	Response
2019.58	0	Response
2019.74	0	Response
2020.35	0	Response
2020.54	0	Response
2021.24	0	Response
2023.67	6.0068	Picture
2035.08	8.7098	Picture
2049.8	2.0022	Picture
2056.18	0	Response
2057.01	0	Response
2057.54	0	Response
2057.7	0	Response
2058.86	0	Response
2059.05	0	Response
2059.66	0	Response
2060.99	6.0068	Picture
2072	8.009	Picture
2087.02	1.9856	Picture
2089.57	0	Response
2091.54	0	Response
2091.89	0	Response
2092.02	0	Response
2092.17	0	Response
2092.31	0	Response
2092.97	0	Response
2093.13	0	Response
2093.69	0	Response
2094.01	6.0068	Picture
2105.52	5.5062	Picture
2119.04	2.0022	Picture
2138.63	8.2093	Picture
2151.84	2.0023	Picture
2158.8	0	Response
2159.2	0	Response
2159.31	0	Response
2160.21	0	Response
2160.39	0	Response
2160.53	0	Response
2160.63	0	Response
2160.76	0	Response
2160.87	0	Response
2160.99	0	Response
2161.11	0	Response
2161.22	0	Response
2161.35	0	Response
2161.49	0	Response
2162.04	0	Response
2166.84	6.0067	Picture
2179.86	5.0056	Picture
2193.87	2.0022	Picture
2209.78	7.3082	Picture
2226.09	2.0023	Picture
2233.85	0	Response
2236.88	0	Response
2237.13	0	Response
2237.28	0	Response
2237.41	0	Response
2237.54	0	Response
2237.7	0	Response
2237.86	0	Response
2238.48	0	Response
2242.08	6.0068	Picture
2255.49	5.5062	Picture
2267.01	2.0023	Picture
2278.5	5.0057	Picture
2292.52	2.0022	Picture
2303.22	0	Response
2304.49	0	Response
2304.77	0	Response
2304.96	0	Response
2305.63	0	Response
2305.78	0	Response
2307.36	0	Response
2307.53	0	Response
2307.98	0	Response
2308.18	0	Response
2309.17	0	Response
2309.24	6.0068	Picture
2320.85	8.1092	Picture
2337.97	0.584	Picture
2340.82	0	Response
2341.01	0	Response
2341.88	0	Response
2342.08	0	Response
2342.24	0	Response
2342.43	0	Response
2342.59	0	Response
2342.74	0	Response
2343.18	0	Response
2343.36	0	Response
2344.04	0	Response
2344.16	6.0068	Picture
2356.77	6.4072	Picture
2372.19	2.0022	Picture
2381.46	0	Response
2381.87	0	Response
2382.01	0	Response
2382.19	0	Response
2382.59	0	Response
2382.81	0	Response
2383.65	0	Response
2387.38	6.0067	Picture
2399.39	7.0079	Picture
2413.41	2.0023	Picture
2425.9	5.306	Picture
2437.22	2.0023	Picture
2451.54	0	Response
2452.52	0	Response
2452.78	0	Response
2452.93	0	Response
2453.04	0	Response
2453.2	0	Response
2453.33	0	Response
2453.45	0	Response
2453.53	0	Response
2454.63	0	Response
2454.82	0	Response
2455.01	0	Response
2455.17	0	Response
2455.33	0	Response
2455.92	0	Response
2457.3	6.0068	Picture
2471.02	7.9089	Picture
2485.94	2.0023	Picture
2493.6	0	Response
2493.79	0	Response
2493.95	0	Response
2494.12	0	Response
2494.94	0	Response
2500.14	6.0067	Picture
2514.15	6.0068	Picture
2529.17	2.0023	Picture
2535.34	0	Response
2535.52	0	Response
2535.76	0	Response
2535.95	0	Response
2536.1	0	Response
2536.24	0	Response
2536.92	0	Response
2542.17	6.0068	Picture
2556.88	8.2093	Picture
2573.1	2.0023	Picture
2577.78	0	Response
2579.95	0	Response
2580.27	0	Response
2580.47	0	Response
2580.67	0	Response
2580.81	0	Response
2581.57	0	Response
2585.4	6.0068	Picture
2597.41	7.7087	Picture
2610.13	2.0023	Picture
2616.94	0	Response
2617.16	0	Response
2617.29	0	Response
2617.45	0	Response
2617.59	0	Response
2617.73	0	Response
2618.15	0	Response
2618.31	0	Response
2618.92	0	Response
2622.22	6.0068	Picture
2633.24	5.0056	Picture
2644.25	2.0023	Picture
2654.9	0	Response
2656.92	0	Response
2657.09	0	Response
2657.25	0	Response
2657.37	0	Response
2657.49	0	Response
2657.8	0	Response
2657.93	0	Response
2658.61	0	Response
2659.25	6.0067	Picture
2672.56	7.3082	Picture
2687.88	2.0022	Picture
2693.37	0	Response
2694.76	0	Response
2694.96	0	Response
2695.12	0	Response
2695.24	0	Response
2695.43	0	Response
2695.56	0	Response
2695.72	0	Response
2695.97	0	Response
2696.12	0	Response
2696.84	0	Response
2699.98	6.0068	Picture
2714.29	8.2093	Picture
2729.51	2.0022	Picture
2734.6	0	Response
2734.81	0	Response
2734.95	0	Response
2735.12	0	Response
2735.44	0	Response
2735.63	0	Response
2736.47	0	Response
2736.64	0	Response
2736.95	0	Response
2737.14	0	Response
2737.86	0	Response
2742.21	6.0068	Picture
2756.23	6.0068	Picture
2770.24	2.0023	Picture
2775.83	0	Response
2776.14	0	Response
2776.89	0	Response
2777.81	0	Response
2778.02	0	Response
2778.18	0	Response
2778.3	0	Response
2778.44	0	Response
2778.65	0	Response
2778.82	0	Response
2779.88	0	Response
2782.24	6.0068	Picture
2793.55	5.5062	Picture
2808.07	2.0023	Picture
2812.94	0	Response
2815.32	0	Response
2815.49	0	Response
2815.67	0	Response
2815.78	0	Response
2815.93	0	Response
2816.09	0	Response
2816.25	0	Response
2817.07	0	Response
2817.13	6.0068	Picture
2829.14	2.0023	Picture
