onset	duration	value	event	stim_file
78652	0	20	cross/white	n/a
79134	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
79218	0	20	cross/white	n/a
79718	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
79839	0	20	cross/white	n/a
80387	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
80519	0	20	cross/white	n/a
81055	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
81163	0	20	cross/white	n/a
81705	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
81838	0	20	cross/white	n/a
82368	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
82464	0	20	cross/white	n/a
82549	0	111	button_press	n/a
82946	0	36	red/happy/standard/6	SHINEd_028_y_f_h_a.jpg
83030	0	20	cross/white	n/a
83187	0	111	button_press	n/a
83536	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
83656	0	20	cross/white	n/a
84162	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
84253	0	20	cross/white	n/a
84764	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
84885	0	20	cross/white	n/a
85397	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
85487	0	20	cross/white	n/a
85999	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
86125	0	20	cross/white	n/a
86661	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
86770	0	20	cross/white	n/a
87270	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
87354	0	20	cross/white	n/a
87842	0	12	red/angry/standard/2	SHINEd_028_y_f_a_b.jpg
87950	0	20	cross/white	n/a
88059	0	111	button_press	n/a
88456	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
88552	0	20	cross/white	n/a
89076	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
89203	0	20	cross/white	n/a
89745	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
89859	0	20	cross/white	n/a
90395	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
90521	0	20	cross/white	n/a
91051	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
91154	0	20	cross/white	n/a
91678	0	31	red/happy/deviant/1	SHINEd_010_y_f_h_a.jpg
91798	0	20	cross/white	n/a
91858	0	111	button_press	n/a
92304	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
92394	0	20	cross/white	n/a
92876	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
92972	0	20	cross/white	n/a
93466	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
93568	0	20	cross/white	n/a
94062	0	35	red/happy/standard/5	SHINEd_025_y_m_h_b.jpg
94159	0	20	cross/white	n/a
94279	0	111	button_press	n/a
94688	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
94815	0	20	cross/white	n/a
