onset	duration	sample	trial_type	response_time	stim_file	value
90.5700000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
91.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
92.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
93.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
94.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
95.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
96.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
97.5720000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
98.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
99.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
100.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
101.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
102.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
103.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
104.5740000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
105.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
106.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
107.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
108.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
109.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
110.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
111.5760000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
112.5780000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
113.5780000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
114.5780000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
115.5780000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
116.5780000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
