onset	duration	Scoring1
6971.00000068545	30	4
7001.00000068545	30	4
7031.00000068545	30	4
7061.00000068545	30	4
7091.00000068545	30	4
7121.00000068545	30	4
7151.00000068545	30	4
7181.00000068545	30	4
7211.00000068545	30	4
7241.00000068545	30	3
7271.00000068545	30	4
7301.00000068545	30	4
7331.00000068545	30	4
7361.00000068545	30	1
7391.00000068545	30	4
7421.00000068545	30	4
7451.00000068545	30	4
7481.00000068545	30	4
7511.00000068545	30	4
7541.00000068545	30	4
7571.00000068545	30	4
7601.00000068545	30	4
7631.00000068545	30	4
7661.00000068545	30	4
7691.00000068545	30	4
7721.00000068545	30	4
7751.00000068545	30	4
7781.00000068545	30	4
7811.00000068545	30	4
7841.00000068545	30	4
7871.00000068545	30	4
7901.00000068545	30	4
7931.00000068545	30	4
7961.00000068545	30	4
7991.00000068545	30	4
8021.00000068545	30	4
8051.00000068545	30	4
8081.00000068545	30	4
8111.00000068545	30	4
8141.00000068545	30	4
8171.00000068545	30	4
8201.00000068545	30	4
8231.00000068545	30	4
8261.00000068545	30	4
8291.00000068545	30	4
8321.00000068545	30	4
8351.00000068545	30	4
8381.00000068545	30	4
8411.00000068545	30	4
8441.00000068545	30	4
8471.00000068545	30	4
8501.00000068545	30	4
8531.00000068545	30	4
8561.00000068545	30	4
8591.00000068545	30	4
8621.00000068545	30	4
8651.00000068545	30	4
8681.00000068545	30	4
8711.00000068545	30	4
8741.00000068545	30	4
8771.00000068545	30	4
8801.00000068545	30	4
8831.00000068545	30	4
8861.00000068545	30	4
8891.00000068545	30	4
8921.00000068545	30	4
8951.00000068545	30	4
8981.00000068545	30	4
9011.00000068545	30	4
9041.00000068545	30	4
9071.00000068545	30	4
9101.00000068545	30	4
9131.00000068545	30	4
9161.00000068545	30	4
9191.00000068545	30	4
9221.00000068545	30	4
9251.00000068545	30	4
9281.00000068545	30	4
9311.00000068545	30	4
9341.00000068545	30	5
9371.00000068545	30	5
9401.00000068545	30	5
9431.00000068545	30	5
9461.00000068545	30	5
9491.00000068545	30	5
9521.00000068545	30	5
9551.00000068545	30	5
9581.00000068545	30	5
9611.00000068545	30	5
9641.00000068545	30	5
9671.00000068545	30	5
9701.00000068545	30	5
9731.00000068545	30	5
9761.00000068545	30	5
9791.00000068545	30	5
9821.00000068545	30	5
9851.00000068545	30	5
9881.00000068545	30	5
9911.00000068545	30	5
9941.00000068545	30	5
9971.00000068545	30	5
10001.0000006855	30	5
10031.0000006855	30	5
10061.0000006855	30	5
10091.0000006855	30	5
10121.0000006855	30	5
10151.0000006855	30	5
10181.0000006855	30	5
10211.0000006855	30	5
10241.0000006855	30	5
10271.0000006855	30	5
10301.0000006855	30	5
10331.0000006855	30	5
10361.0000006855	30	5
10391.0000006855	30	5
10421.0000006855	30	5
10451.0000006855	30	5
10481.0000006855	30	5
10511.0000006855	30	5
10541.0000006855	30	5
10571.0000006855	30	4
10601.0000006855	30	4
10631.0000006855	30	4
10661.0000006855	30	4
10691.0000006855	30	4
10721.0000006855	30	4
10751.0000006855	30	4
10781.0000006855	30	4
10811.0000006855	30	4
10841.0000006855	30	4
10871.0000006855	30	4
10901.0000006855	30	4
10931.0000006855	30	4
10961.0000006855	30	4
10991.0000006855	30	3
11021.0000006855	30	4
11051.0000006855	30	4
11081.0000006855	30	3
11111.0000006855	30	1
