onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
165.60	0.72	221	2	8	77	per	lib	low	mod	low	nt	cr	nh/0730_nh.bmp
166.32	0.72	222	2	8	97	mem	con	mod	mod	low	nt	ms	nh/0123_nh.bmp
167.04	0.72	223	2	6	57	mem	lib	mod	mod	mod	nt	ht	nh/0548_nh.bmp
167.76	0.72	224	2	6	107	per	lib	mod	mod	mod	tg	ms	wh/0810.bmp
168.48	0.72	225	1	8	61	per	con	low	mod	low	tg	ms	wh/0080.bmp
169.20	0.72	226	3	7	88	per	con	mod	mod	mod	tg	ht	wh/0680.bmp
169.92	0.72	227	1	8	32	mem	con	low	low	low	nt	ms	nh/0237_nh.bmp
170.64	0.72	228	3	6	48	per	lib	low	mod	low	tg	ms	wh/0284.bmp
171.36	0.72	229	2	6	85	per	con	low	mod	low	nt	cr	nh/0361_nh.bmp
172.08	0.72	230	2	8	2	mem	lib	mod	mod	low	nt	ht	nh/0383_nh.bmp
172.80	0.72	231	1	7	27	per	lib	low	low	low	tg	ms	wh/0998.bmp
173.52	0.72	232	2	8	61	per	con	low	mod	low	tg	ms	wh/0080.bmp
174.24	0.72	233	3	8	65	per	lib	low	mod	low	nt	fa	nh/0404_nh.bmp
174.96	0.72	234	4	7	54	mem	con	mod	mod	mod	nt	ms	nh/0442_nh.bmp
175.68	0.72	235	1	8	38	per	lib	mod	low	mod	nt	cr	nh/0278_nh.bmp
176.40	0.72	236	3	7	79	mem	lib	mod	mod	mod	tg	ht	wh/0954.bmp
177.12	0.72	237	1	7	37	per	con	low	low	low	nt	cr	nh/0173_nh.bmp
177.84	0.72	238	1	6	21	mem	con	low	low	mod	nt	ms	nh/0216_nh.bmp
178.56	0.72	239	3	6	108	per	lib	mod	mod	mod	tg	ht	wh/0182.bmp
179.28	0.72	240	2	8	71	per	lib	low	mod	low	nt	cr	nh/0744_nh.bmp
180.00	0.72	241	3	6	102	per	lib	mod	mod	mod	tg	ht	wh/0904.bmp
180.72	0.72	242	1	7	77	mem	lib	mod	mod	mod	nt	ms	nh/0588_nh.bmp
181.44	0.72	243	1	5	66	mem	lib	mod	mod	low	tg	ht	wh/0489.bmp
182.16	0.72	244	2	5	128	mem	con	mod	mod	mod	nt	ht	nh/0957_nh.bmp
182.88	0.72	245	1	5	84	mem	con	low	low	low	tg	ht	wh/0112.bmp
183.60	0.72	246	3	6	72	mem	con	mod	mod	low	tg	ht	wh/0079.bmp
184.32	0.72	247	5	7	54	mem	con	mod	mod	mod	nt	ms	nh/0442_nh.bmp
185.04	0.72	248	1	7	90	per	con	mod	mod	mod	tg	ht	wh/0543.bmp
185.76	0.72	249	3	7	55	mem	con	mod	mod	mod	tg	ms	wh/0398.bmp
186.48	0.72	250	1	8	22	mem	con	low	low	low	nt	ms	nh/0223_nh.bmp
187.20	0.72	251	2	7	16	per	lib	mod	mod	mod	tg	ht	wh/0319.bmp
187.92	0.72	252	1	7	119	mem	lib	low	low	mod	nt	ht	nh/0652_nh.bmp
188.64	0.72	253	4	7	86	per	con	mod	mod	mod	tg	ht	wh/0594.bmp
189.36	0.72	254	1	8	113	mem	lib	low	low	low	tg	ht	wh/0571.bmp
190.08	0.72	255	1	5	114	mem	con	mod	mod	mod	tg	ms	wh/0339.bmp
190.80	0.72	256	3	7	6	per	lib	mod	mod	mod	nt	cr	nh/0222_nh.bmp
191.52	0.72	257	2	7	10	per	lib	mod	mod	mod	nt	cr	nh/0874_nh.bmp
192.24	0.72	258	4	7	53	mem	con	mod	mod	mod	tg	ht	wh/0591.bmp
192.96	0.72	259	2	6	86	per	con	low	mod	low	tg	ms	wh/0036.bmp
193.68	0.72	260	1	6	125	mem	lib	low	low	low	nt	ht	nh/0864_nh.bmp
194.40	0.72	261	3	5	119	mem	con	mod	mod	mod	tg	ms	wh/0558.bmp
195.12	0.72	262	2	6	77	mem	con	mod	mod	low	tg	ht	wh/0336.bmp
195.84	0.72	263	5	8	7	mem	lib	mod	mod	low	nt	ht	nh/0238_nh.bmp
196.56	0.72	264	2	6	40	per	lib	low	mod	low	tg	ht	wh/0299.bmp
197.28	0.72	265	3	6	77	mem	con	mod	mod	low	tg	ht	wh/0336.bmp
198.00	0.72	266	1	5	125	mem	con	mod	mod	mod	tg	ht	wh/0593.bmp
198.72	0.72	267	3	8	2	mem	lib	mod	mod	low	nt	ht	nh/0383_nh.bmp
199.44	0.72	268	2	5	74	mem	lib	mod	mod	low	nt	ht	nh/0508_nh.bmp
200.16	0.72	269	1	8	82	per	con	mod	low	mod	nt	cr	nh/0277_nh.bmp
200.88	0.72	270	2	8	6	mem	lib	mod	mod	low	nt	ht	nh/0465_nh.bmp
201.60	0.72	271	2	7	85	per	con	mod	mod	mod	tg	ht	wh/0542.bmp
202.32	0.72	272	1	6	115	mem	lib	low	low	low	tg	ht	wh/0185.bmp
203.04	0.72	273	2	8	106	mem	con	mod	mod	low	tg	ht	wh/0635.bmp
203.76	0.72	274	1	6	111	per	lib	mod	mod	mod	nt	cr	nh/0273_nh.bmp
204.48	0.72	275	1	5	92	mem	con	low	low	low	tg	ht	wh/0431.bmp
205.20	0.72	276	3	7	72	mem	lib	mod	mod	mod	nt	ht	nh/0497_nh.bmp
205.92	0.72	277	3	7	4	per	lib	mod	mod	mod	tg	ms	wh/0855.bmp
206.64	0.72	278	3	7	95	per	con	mod	mod	mod	nt	cr	nh/0196_nh.bmp
207.36	0.72	279	4	5	32	per	con	mod	mod	mod	nt	cr	nh/0371_nh.bmp
208.08	0.72	280	3	6	40	per	lib	low	mod	low	tg	ht	wh/0299.bmp
208.80	0.72	281	2	7	67	mem	lib	mod	mod	mod	tg	ht	wh/0095.bmp
209.52	0.72	282	3	8	106	mem	con	mod	mod	low	tg	ht	wh/0635.bmp
210.24	0.72	283	2	5	125	mem	con	mod	mod	mod	tg	ht	wh/0593.bmp
210.96	0.72	284	4	6	83	per	con	low	mod	low	tg	ms	wh/0077.bmp
211.68	0.72	285	1	5	4	mem	lib	low	low	mod	nt	ht	nh/0316_nh.bmp
212.40	0.72	286	1	7	57	mem	con	mod	mod	mod	nt	ht	nh/0684_nh.bmp
213.12	0.72	287	2	5	66	mem	lib	mod	mod	low	tg	ht	wh/0489.bmp
213.84	0.72	288	1	6	62	mem	lib	mod	mod	mod	tg	ht	wh/0973.bmp
214.56	0.72	289	1	5	120	mem	con	mod	mod	mod	nt	ms	nh/0962_nh.bmp
215.28	0.72	290	4	6	48	per	lib	low	mod	low	tg	ms	wh/0284.bmp
216.00	0.72	291	2	7	75	mem	lib	mod	mod	mod	tg	ht	wh/0697.bmp
216.72	0.72	292	1	6	17	mem	con	low	low	mod	tg	ms	wh/0419.bmp
217.44	0.72	293	3	6	110	per	lib	mod	mod	mod	tg	ht	wh/0650.bmp
218.16	0.72	294	3	7	91	per	con	mod	mod	mod	nt	cr	nh/0714_nh.bmp
218.88	0.72	295	4	6	71	mem	con	mod	mod	low	nt	ht	nh/0802_nh.bmp
219.60	0.72	296	4	5	119	mem	con	mod	mod	mod	tg	ms	wh/0558.bmp
220.32	0.72	297	3	6	86	per	con	low	mod	low	tg	ms	wh/0036.bmp
