onset	duration	value	sample	trial_type	stim_file
198.339	1	1	198339	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
199.34	1	1	199340	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
200.34	1	1	200340	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
201.341	1	1	201341	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
202.341	1	1	202341	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
203.342	1	1	203342	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
204.342	1	1	204342	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
205.343	1	1	205343	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
206.343	1	1	206343	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
207.344	1	1	207344	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
208.344	1	1	208344	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
209.345	1	1	209345	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
210.345	1	1	210345	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
211.346	1	1	211346	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
212.346	1	1	212346	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
213.347	1	1	213347	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
214.347	1	1	214347	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
215.348	1	1	215348	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
216.348	1	1	216348	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
217.349	1	1	217349	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
218.349	1	1	218349	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
219.349	1	1	219349	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
220.35	1	1	220350	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
221.35	1	1	221350	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
222.351	1	1	222351	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
223.351	1	1	223351	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
224.352	1	1	224352	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
225.352	1	1	225352	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
226.353	1	1	226353	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
227.353	1	1	227353	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
228.354	1	1	228354	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
229.354	1	1	229354	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
230.355	1	1	230355	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
231.355	1	1	231355	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
232.356	1	1	232356	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
233.356	1	1	233356	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
234.357	1	1	234357	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
235.357	1	1	235357	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
236.358	1	1	236358	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
237.358	1	1	237358	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
238.359	1	1	238359	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
239.359	1	1	239359	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
240.36	1	1	240360	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
241.36	1	1	241360	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
242.361	1	1	242361	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
243.361	1	1	243361	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
244.362	1	1	244362	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
245.362	1	1	245362	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
246.363	1	1	246363	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
247.363	1	1	247363	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
248.364	1	1	248364	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
249.364	1	1	249364	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
250.365	1	1	250365	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
251.365	1	1	251365	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
252.365	1	1	252365	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
253.366	1	1	253366	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
254.366	1	1	254366	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
255.367	1	1	255367	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
256.367	1	1	256367	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
257.368	1	1	257368	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
258.368	1	1	258368	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
259.369	1	1	259369	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
