onset	duration	trial_type	value	sample	stim_file
1259.4423828125	0.0	startOfSecondWatch	128	2579338	The_Hobbit_-_An_Unexpected_Journey_9264_9274_5.txt
1260.2099609375	0.0	firstRecognitionClick	257	2580910	n/a
1261.072265625	0.0	recognitionClick	160	2582676	n/a
1265.98779296875	0.0	recognitionClick	160	2592743	n/a
1266.71875	0.0	recognitionClick	160	2594240	n/a
1269.45068359375	0.0	endOfClip	129	2599835	n/a
1271.5	0.0	trialEnd	193	2604032	n/a
1271.7001953125	0.0	trialStart	192	2604442	n/a
1273.59130859375	0.0	startOfRememberedClipFirstWatch	3	2608315	GoodFellas_1384_1394_16.txt
1283.599609375	0.0	endOfClip	129	2628812	n/a
1286.27294921875	0.0	startOfSecondWatch	128	2634287	GoodFellas_1384_1394_16.txt
1286.818359375	0.0	firstRecognitionClick	257	2635404	n/a
1293.61865234375	0.0	recognitionClick	160	2649331	n/a
1295.34912109375	0.0	recognitionClick	160	2652875	n/a
1296.28125	0.0	endOfClip	129	2654784	n/a
1298.3701171875	0.0	trialEnd	193	2659062	n/a
1299.466796875	0.0	trialStart	192	2661308	n/a
1301.232421875	0.0	startOfNotRecognisedClip	1	2664924	The_Postman_2975_2985_233.txt
1311.24365234375	0.0	endOfClip	129	2685427	n/a
1312.70654296875	0.0	trialEnd	193	2688423	n/a
1312.90673828125	0.0	trialStart	192	2688833	n/a
1314.77294921875	0.0	startOfNotRecognisedClip	1	2692655	Birdman_3164_3174_29.txt
1324.78173828125	0.0	endOfClip	129	2713153	n/a
1326.1552734375	0.0	trialEnd	193	2715966	n/a
1326.3544921875	0.0	trialStart	192	2716374	n/a
1328.2255859375	0.0	startOfNotRecognisedClip	1	2720206	Snake_Eyes_2813_2823_174.txt
1338.23388671875	0.0	endOfClip	129	2740703	n/a
1339.55419921875	0.0	trialEnd	193	2743407	n/a
1339.75390625	0.0	trialStart	192	2743816	n/a
1341.513671875	0.0	startOfRememberedClipFirstWatch	3	2747420	Harry_Potter_7_and_the_Deathly_Hallows_Part_2_3342_3352_23.txt
1351.52197265625	0.0	endOfClip	129	2767917	n/a
1354.33935546875	0.0	startOfSecondWatch	128	2773687	Harry_Potter_7_and_the_Deathly_Hallows_Part_2_3342_3352_23.txt
1355.1494140625	0.0	firstRecognitionClick	257	2775346	n/a
1356.01953125	0.0	recognitionClick	160	2777128	n/a
1357.75244140625	0.0	recognitionClick	160	2780677	n/a
1359.1494140625	0.0	recognitionClick	160	2783538	n/a
1361.818359375	0.0	recognitionClick	160	2789004	n/a
1364.3505859375	0.0	endOfClip	129	2794190	n/a
1366.84228515625	0.0	trialEnd	193	2799293	n/a
1826.73876953125	0.0	trialStart	192	3741161	n/a
1828.8701171875	0.0	startOfNotRecognisedClip	1	3745526	Room_1339_1349_163.txt
1838.8779296875	0.0	endOfClip	129	3766022	n/a
1840.8623046875	0.0	trialEnd	193	3770086	n/a
1841.0625	0.0	trialStart	192	3770496	n/a
1842.7607421875	0.0	startOfNotRecognisedClip	1	3773974	The_Wicker_Man_2833_2843_17.txt
1852.771484375	0.0	endOfClip	129	3794476	n/a
1854.81396484375	0.0	trialEnd	193	3798659	n/a
1855.013671875	0.0	trialStart	192	3799068	n/a
1856.71923828125	0.0	startOfNotRecognisedClip	1	3802561	Spring_Breakers_401_411_1.txt
