onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
188.811153	4.01976977700001	5	5	test	AC	Scene	4	0	2091.55022308
194.832404	4.01752277700001	5	6	test	AC	Scene	5	1	2411.92722308
204.851374	4.01904877699999	5	7	test	AC	Scene	6	0	2004.16422308
216.872101	4.019615777	5	8	test	AC	Scene	8	1	1986.03822308
222.89318	4.01753577700001	5	9	test	AB	Scene	6	1	2515.27022308
228.912536	4.017142777	5	10	test	BC	Scene	7	1	1412.44722308
236.931118	4.01830777700004	5	11	test	BC	Scene	2	1	2063.62722308
244.951292	4.01792277700003	5	12	test	BC	Scene	4	1	2081.48222308
250.970506	4.01766577700002	5	13	test	BC	Scene	3	1	2591.59822308
260.98957	4.019145777	5	14	test	AB	Scene	5	1	2591.52422308
267.010386	4.01729077700002	5	15	test	BC	Scene	6	1	1824.56322308
275.029464	4.01796177700005	5	16	test	BC	Scene	5	1	2267.42922308
281.049386	4.01703777699999	5	17	test	BC	Scene	8	1	1616.66822308
287.067739	4.01764377700002	5	18	test	BC	Scene	1	1	2398.84422308
295.087015	4.01815477700002	5	19	test	AB	Scene	7	1	2972.60322308
303.106763	4.01815877700003	5	20	test	AB	Scene	8	1	2381.03922308
313.126407	4.01901977700001	5	21	test	AB	Scene	1	1	1891.65122308
319.1469	4.01752477700001	5	22	test	AB	Scene	2	1	2725.41822308
331.166008	4.01970577700005	5	23	test	AB	Scene	3	1	2989.32822308
337.187552	4.01712077699997	5	24	test	AB	Scene	4	1	2968.33622308
18.526796	4.006349252	6	1	study	AB	Face	1	1	NA
24.534539	4.00091825200001	6	2	study	AB	Face	6	1	NA
36.536763	4.003320252	6	3	study	AB	Face	3	1	NA
42.541702	4.000670252	6	4	study	AB	Face	8	1	NA
48.543734	4.00097025200001	6	5	study	AB	Face	7	1	NA
54.546125	4.00088025200002	6	6	study	AB	Face	4	0	NA
62.548694	4.001388252	6	7	study	AB	Face	2	1	NA
70.551518	4.00164825200001	6	8	study	AB	Face	5	1	NA
76.55473	4.000723252	6	9	study	BC	Face	1	1	NA
82.556924	4.00086225200001	6	10	study	BC	Face	3	1	NA
92.559421	4.00220625199999	6	11	study	BC	Face	5	1	NA
98.563056	4.00089525200002	6	12	study	BC	Face	8	1	NA
106.565355	4.00164825200001	6	13	study	BC	Face	6	1	NA
116.568279	4.00259625200002	6	14	study	BC	Face	7	1	NA
124.572434	4.00152125200001	6	15	study	BC	Face	2	1	NA
130.575143	4.001102252	6	16	study	BC	Face	4	0	NA
152.765173	4.01961525199999	6	1	test	AC	Face	8	1	1797.77774799
164.786186	4.019897252	6	2	test	AC	Face	1	1	2051.62274799
172.807491	4.018339252	6	3	test	AC	Face	7	1	2338.50374799
180.827353	4.01822725200001	6	4	test	AC	Face	5	1	1965.27274799
