onset	duration	weight	memtype	resolution	memcond	phase	trial	run	eye
118.710439900009	0.058	1	3	2	4	2	4	16	1
118.832439900009	0.234	1	3	2	4	2	4	16	1
119.078439900009	0.05	1	3	2	4	2	4	16	1
119.174439900009	0.128	1	3	2	4	2	4	16	1
119.326439900009	0.078	1	3	2	4	2	4	16	1
119.468439900009	0.048	1	3	2	4	2	4	16	1
119.546439900009	0.088	1	3	2	4	2	4	16	1
119.704439900009	0.142	1	3	2	4	2	4	16	1
120.092439900009	0.296	1	3	2	4	2	4	16	1
120.410439900009	0.106	1	3	2	4	2	4	16	1
120.530439900009	0.134	1	3	2	4	2	4	16	1
120.694439900009	0.18	1	3	2	4	2	4	16	1
120.894439900009	0.208	1	3	2	4	2	4	16	1
121.148439900009	0.038	1	3	2	4	2	4	16	1
121.194439900009	0.042	1	3	2	4	2	4	16	1
121.244439900009	0.08	1	3	2	4	2	4	16	1
121.332439900009	0.346	1	3	2	4	2	4	16	1
121.702439900009	0.246	1	3	2	4	2	4	16	1
121.962439900009	0.448	1	3	2	4	2	4	16	1
124.494181600021	3	1	3	2	4	3	4	16	0
130.9938272	0.076	1	1	2	1	1	5	16	1
130.9938272	5	1	1	2	1	1	5	16	0
131.0898272	0.08	1	1	2	1	1	5	16	1
131.2338272	0.064	1	1	2	1	1	5	16	1
131.3158272	0.074	1	1	2	1	1	5	16	1
131.5038272	0.09	1	1	2	1	1	5	16	1
131.7598272	0.026	1	1	2	1	1	5	16	1
131.7978272	0.052	1	1	2	1	1	5	16	1
131.8698272	0.086	1	1	2	1	1	5	16	1
131.9818272	0.244	1	1	2	1	1	5	16	1
132.3118272	0.134	1	1	2	1	1	5	16	1
132.4618272	0.07	1	1	2	1	1	5	16	1
132.5478272	0.282	1	1	2	1	1	5	16	1
132.8398272	0.152	1	1	2	1	1	5	16	1
133.0218272	0.054	1	1	2	1	1	5	16	1
133.0878272	0.054	1	1	2	1	1	5	16	1
133.1918272	0.086	1	1	2	1	1	5	16	1
133.3018272	0.028	1	1	2	1	1	5	16	1
133.3498272	0.07	1	1	2	1	1	5	16	1
133.4318272	0.03	1	1	2	1	1	5	16	1
133.4798272	0.062	1	1	2	1	1	5	16	1
133.5518272	0.124	1	1	2	1	1	5	16	1
133.6998272	0.036	1	1	2	1	1	5	16	1
133.7558272	0.1	1	1	2	1	1	5	16	1
133.8738272	0.102	1	1	2	1	1	5	16	1
133.9958272	0.114	1	1	2	1	1	5	16	1
134.1178272	0.028	1	1	2	1	1	5	16	1
134.1698272	0.086	1	1	2	1	1	5	16	1
134.2718272	0.042	1	1	2	1	1	5	16	1
134.3358272	0.06	1	1	2	1	1	5	16	1
134.5278272	0.038	1	1	2	1	1	5	16	1
134.7138272	0.084	1	1	2	1	1	5	16	1
134.8258272	0.04	1	1	2	1	1	5	16	1
134.8978272	0.132	1	1	2	1	1	5	16	1
135.0378272	0.16	1	1	2	1	1	5	16	1
135.2218272	0.038	1	1	2	1	1	5	16	1
145.493119200022	0.02	1	1	2	1	2	5	16	1
145.493119200022	5	1	1	2	1	2	5	16	0
145.597119200022	0.02	1	1	2	1	2	5	16	1
145.717119200022	0.022	1	1	2	1	2	5	16	1
145.791119200022	0.07	1	1	2	1	2	5	16	1
145.997119200022	0.028	1	1	2	1	2	5	16	1
146.283119200022	0.254	1	1	2	1	2	5	16	1
146.563119200022	0.186	1	1	2	1	2	5	16	1
146.769119200022	0.434	1	1	2	1	2	5	16	1
147.247119200022	0.75	1	1	2	1	2	5	16	1
148.057119200022	0.142	1	1	2	1	2	5	16	1
148.221119200022	0.31	1	1	2	1	2	5	16	1
148.539119200022	0.1	1	1	2	1	2	5	16	1
148.673119200022	0.04	1	1	2	1	2	5	16	1
148.727119200022	0.208	1	1	2	1	2	5	16	1
148.945119200022	0.23	1	1	2	1	2	5	16	1
149.193119200022	0.038	1	1	2	1	2	5	16	1
149.263119200022	0.43	1	1	2	1	2	5	16	1
149.717119200022	0.186	1	1	2	1	2	5	16	1
153.742757100001	3	1	1	2	1	3	5	16	0
159.492426400015	0.134	1	3	1	2	1	6	16	1
159.492426400015	5	1	3	1	2	1	6	16	0
159.676426400015	0.02	1	3	1	2	1	6	16	1
159.708426400015	0.054	1	3	1	2	1	6	16	1
160.086426400015	0.038	1	3	1	2	1	6	16	1
160.142426400015	0.07	1	3	1	2	1	6	16	1
160.230426400015	0.054	1	3	1	2	1	6	16	1
160.306426400015	0.02	1	3	1	2	1	6	16	1
160.336426400015	0.194	1	3	1	2	1	6	16	1
160.546426400015	0.038	1	3	1	2	1	6	16	1
160.638426400015	0.022	1	3	1	2	1	6	16	1
160.750426400015	0.044	1	3	1	2	1	6	16	1
160.870426400015	0.052	1	3	1	2	1	6	16	1
160.936426400015	0.04	1	3	1	2	1	6	16	1
161.010426400015	0.03	1	3	1	2	1	6	16	1
161.078426400015	0.98	1	3	1	2	1	6	16	1
162.108426400015	0.17	1	3	1	2	1	6	16	1
162.288426400015	0.384	1	3	1	2	1	6	16	1
162.710426400015	0.246	1	3	1	2	1	6	16	1
162.992426400015	0.052	1	3	1	2	1	6	16	1
163.062426400015	0.068	1	3	1	2	1	6	16	1
163.144426400015	0.066	1	3	1	2	1	6	16	1
163.236426400015	0.072	1	3	1	2	1	6	16	1
163.378426400015	0.186	1	3	1	2	1	6	16	1
163.688426400015	0.024	1	3	1	2	1	6	16	1
163.754426400015	0.226	1	3	1	2	1	6	16	1
163.998426400015	0.406	1	3	1	2	1	6	16	1
173.491738800018	0.014	1	3	1	2	2	6	16	1
173.491738800018	5	1	3	1	2	2	6	16	0
173.575738800018	0.074	1	3	1	2	2	6	16	1
173.753738800018	0.058	1	3	1	2	2	6	16	1
173.825738800018	0.022	1	3	1	2	2	6	16	1
173.917738800018	0.1	1	3	1	2	2	6	16	1
174.105738800018	0.082	1	3	1	2	2	6	16	1
174.201738800018	0.098	1	3	1	2	2	6	16	1
174.317738800018	0.03	1	3	1	2	2	6	16	1
174.355738800018	0.142	1	3	1	2	2	6	16	1
174.645738800018	0.074	1	3	1	2	2	6	16	1
174.789738800018	0.174	1	3	1	2	2	6	16	1
175.069738800018	0.17	1	3	1	2	2	6	16	1
175.251738800018	0.166	1	3	1	2	2	6	16	1
175.433738800018	0.302	1	3	1	2	2	6	16	1
175.753738800018	0.298	1	3	1	2	2	6	16	1
176.085738800018	0.164	1	3	1	2	2	6	16	1
176.277738800018	0.46	1	3	1	2	2	6	16	1
176.781738800018	0.37	1	3	1	2	2	6	16	1
177.197738800018	0.434	1	3	1	2	2	6	16	1
177.657738800018	0.452	1	3	1	2	2	6	16	1
182.241314500017	3	1	3	1	2	3	6	16	0
187.491048700002	0.026	1	3	1	3	1	7	16	1
187.491048700002	5	1	3	1	3	1	7	16	0
187.561048700002	0.08	1	3	1	3	1	7	16	1
187.685048700002	0.138	1	3	1	3	1	7	16	1
187.845048700002	0.034	1	3	1	3	1	7	16	1
187.997048700002	0.072	1	3	1	3	1	7	16	1
188.133048700002	0.112	1	3	1	3	1	7	16	1
188.413048700002	0.088	1	3	1	3	1	7	16	1
188.517048700002	0.064	1	3	1	3	1	7	16	1
188.607048700002	0.022	1	3	1	3	1	7	16	1
188.681048700002	0.106	1	3	1	3	1	7	16	1
188.819048700002	0.198	1	3	1	3	1	7	16	1
189.041048700002	0.512	1	3	1	3	1	7	16	1
189.571048700002	0.368	1	3	1	3	1	7	16	1
190.209048700002	0.478	1	3	1	3	1	7	16	1
190.723048700002	0.082	1	3	1	3	1	7	16	1
190.821048700002	0.154	1	3	1	3	1	7	16	1
191.003048700002	0.228	1	3	1	3	1	7	16	1
