onset	duration	trial_type	response_time	task_type	response_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
65.010	2.000	correct	0.279	practice a-b	scene	test	face	scene	object	287	119	119	95	223	65.000
69.509	2.000	incorrect	0.291	practice a-b	scene	restudy	scene	object	face	288	90	90	290	142	69.500
74.009	2.000	correct	0.295	practice a-b	scene	test	face	scene	object	289	113	113	89	217	74.000
78.508	2.000	correct	0.340	practice a-b	scene	test	face	scene	object	290	117	117	93	221	78.500
83.007	2.000	incorrect	0.705	practice a-b	face	test	object	scene	face	291	139	139	191	243	83.000
87.506	2.000	incorrect	0.332	practice a-b	scene	test	object	face	scene	292	19	19	167	19	87.500
92.022	2.000	incorrect	0.280	practice a-b	scene	restudy	scene	face	object	293	32	32	256	32	92.000
96.521	2.000	correct	0.652	practice a-b	face	test	scene	face	object	294	27	27	251	27	96.500
101.020	2.000	incorrect	0.287	practice a-b	scene	test	scene	object	face	295	89	89	289	141	101.000
105.519	2.000	correct	0.300	practice a-b	object	restudy	face	object	scene	296	56	56	56	108	105.500
110.019	2.000	incorrect	0.575	practice a-b	face	test	object	scene	face	297	135	135	187	239	110.000
114.518	2.000	correct	0.259	practice a-b	object	test	scene	object	face	298	75	75	275	127	114.500
119.017	2.000	incorrect	0.328	practice a-b	object	test	object	face	scene	299	11	11	159	11	119.000
123.516	2.000	correct	0.572	practice a-b	scene	restudy	object	scene	face	300	144	144	196	248	123.500
128.015	2.000	correct	0.721	practice a-b	object	restudy	face	object	scene	301	54	54	54	106	128.000
132.515	2.000	incorrect	0.374	practice a-b	scene	test	face	object	scene	302	69	69	69	121	132.500
2.016	2.000	incorrect	0.418	practice a-b	object	test	object	face	scene	303	11	11	159	11	2.000
6.515	2.000	correct	0.358	practice a-b	scene	test	face	scene	object	304	115	115	91	219	6.500
11.015	2.000	incorrect	0.403	practice a-b	object	test	object	scene	face	305	135	135	187	239	11.000
15.514	2.000	incorrect	0.686	practice a-b	scene	restudy	scene	face	object	306	40	40	264	40	15.500
20.013	2.000	correct	0.675	practice a-b	scene	test	object	scene	face	307	139	139	191	243	20.000
24.512	2.000	correct	0.712	practice a-b	object	test	face	object	scene	308	69	69	69	121	24.500
29.011	2.000	incorrect	0.556	practice a-b	scene	restudy	scene	face	object	309	32	32	256	32	29.000
33.510	2.000	correct	0.280	practice a-b	scene	restudy	face	scene	object	310	118	118	94	222	33.500
38.010	2.000	incorrect	0.587	practice a-b	object	test	object	scene	face	311	141	141	193	245	38.000
42.509	2.000	correct	0.327	practice a-b	scene	restudy	face	scene	object	312	104	104	80	208	42.500
47.008	2.000	correct	0.682	practice a-b	scene	restudy	face	scene	object	313	100	100	76	204	47.000
51.507	2.000	correct	0.678	practice a-b	object	test	scene	object	face	314	87	87	287	139	51.500
56.006	2.000	incorrect	0.561	practice a-b	scene	test	scene	face	object	315	33	33	257	33	56.000
60.522	2.000	incorrect	0.652	practice a-b	object	test	object	face	scene	316	19	19	167	19	60.500
65.021	2.000	correct	0.624	practice a-b	face	test	object	face	scene	317	13	13	161	13	65.000
69.521	2.000	incorrect	0.435	practice a-b	scene	restudy	face	object	scene	318	70	70	70	122	69.500
74.020	2.000	correct	0.613	practice a-b	object	restudy	scene	object	face	319	90	90	290	142	74.000
78.519	2.000	correct	0.361	practice a-b	object	test	scene	object	face	320	89	89	289	141	78.500
2.016	2.000	incorrect	0.849	practice a-b	object	restudy	scene	face	object	321	32	32	256	32	2.000
6.515	2.000	incorrect	0.382	practice a-b	object	test	object	face	scene	322	19	19	167	19	6.500
11.014	2.000	incorrect	0.833	practice a-b	scene	test	scene	face	object	323	33	33	257	33	11.000
15.514	2.000	correct	0.718	practice a-b	object	restudy	face	object	scene	324	70	70	70	122	15.500
20.013	2.000	incorrect	0.386	practice a-b	object	test	object	face	scene	325	11	11	159	11	20.000
24.512	2.000	incorrect	0.373	practice a-b	object	restudy	scene	face	object	326	40	40	264	40	24.500
29.011	2.000	correct	0.568	practice a-b	scene	test	object	scene	face	327	135	135	187	239	29.000
33.510	2.000	correct	0.354	practice a-b	scene	test	object	scene	face	328	141	141	193	245	33.500
2.016	2.000	incorrect	0.316	practice a-b	scene	restudy	scene	face	object	329	40	40	264	40	2.000
6.515	2.000	incorrect	0.384	practice a-b	object	restudy	scene	face	object	330	32	32	256	32	6.500
11.014	2.000	incorrect	0.833	practice a-b	scene	test	scene	face	object	331	33	33	257	33	11.000
15.513	2.000	incorrect	0.445	practice a-b	object	test	object	face	scene	332	19	19	167	19	15.500
20.013	2.000	correct	0.432	practice a-b	face	test	object	face	scene	333	11	11	159	11	20.000
2.016	2.000	correct	0.314	practice a-b	face	test	object	face	scene	334	19	19	167	19	2.000
6.515	2.000	correct	0.461	practice a-b	face	test	scene	face	object	335	33	33	257	33	6.500
11.015	2.000	incorrect	0.552	practice a-b	object	restudy	scene	face	object	336	32	32	256	32	11.000
15.514	2.000	correct	0.357	practice a-b	face	restudy	scene	face	object	337	40	40	264	40	15.500
2.016	2.000	correct	0.280	practice a-b	face	restudy	scene	face	object	338	32	32	256	32	2.000
