onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
421.1679963700	n/a	n/a	concentrate	n/a	n/a	D214	n/a	12
422.1080033413	n/a	n/a	concentrate	n/a	n/a	D214	n/a	13
423.2760014317	n/a	n/a	concentrate	n/a	n/a	D215	n/a	14
424.2119951478	n/a	n/a	concentrate	n/a	n/a	D218	n/a	15
425.3680037639	n/a	n/a	concentrate	n/a	n/a	D214	n/a	16
426.3039974800	n/a	n/a	concentrate	n/a	n/a	D216	n/a	17
427.4560028992	n/a	n/a	concentrate	n/a	n/a	D214	n/a	18
428.6160046539	n/a	n/a	concentrate	n/a	n/a	D207	n/a	19
429.5639979026	n/a	n/a	concentrate	n/a	n/a	D220	n/a	20
430.7160033218	n/a	n/a	concentrate	n/a	n/a	D221	n/a	21
431.6840024970	n/a	n/a	relax	n/a	n/a	DI88	n/a	22
432.6199962131	n/a	n/a	relax	n/a	n/a	DI84	n/a	23
433.8880038193	n/a	n/a	relax	n/a	n/a	DI85	n/a	24
434.8200043968	n/a	n/a	relax	n/a	n/a	DI85	n/a	25
435.9799960933	n/a	n/a	relax	n/a	n/a	DI94	n/a	26
436.9600048593	n/a	n/a	relax	n/a	n/a	DI93	n/a	27
438.0079975656	n/a	n/a	relax	n/a	n/a	DI86	n/a	28
438.9600040696	n/a	n/a	relax	n/a	n/a	DI87	n/a	29
440.1239989630	n/a	n/a	relax	n/a	n/a	DI93	n/a	30
441.0720022700	n/a	n/a	relax	n/a	n/a	DI86	n/a	31
442.2280008278	n/a	n/a	relax	n/a	n/a	DI93	n/a	32
443.2079995356	n/a	n/a	getready	n/a	n/a	D154	n/a	1
444.3639980934	n/a	n/a	getready	n/a	n/a	D157	n/a	2
445.3039950064	n/a	n/a	getready	n/a	n/a	D156	n/a	3
446.4840026877	n/a	n/a	getready	n/a	n/a	D150	n/a	4
447.4239996008	n/a	n/a	getready	n/a	n/a	D151	n/a	5
448.5760050199	n/a	n/a	getready	n/a	n/a	D161	n/a	6
449.6560031853	n/a	n/a	concentrate	n/a	n/a	D216	n/a	7
450.5919969014	n/a	n/a	concentrate	n/a	n/a	D220	n/a	8
451.7440023205	n/a	n/a	concentrate	n/a	n/a	D217	n/a	9
452.6839992336	n/a	n/a	concentrate	n/a	n/a	D220	n/a	10
453.8360046527	n/a	n/a	concentrate	n/a	n/a	D228	n/a	11
454.7760015658	n/a	n/a	concentrate	n/a	n/a	D223	n/a	12
455.9439996562	n/a	n/a	concentrate	n/a	n/a	D220	n/a	13
456.8920029632	n/a	n/a	concentrate	n/a	n/a	D213	n/a	14
457.9439988664	n/a	n/a	concentrate	n/a	n/a	D217	n/a	15
459.0040011636	n/a	n/a	concentrate	n/a	n/a	D213	n/a	16
460.1679960570	n/a	n/a	concentrate	n/a	n/a	D215	n/a	17
461.1119961671	n/a	n/a	concentrate	n/a	n/a	D215	n/a	18
462.2800043157	n/a	n/a	concentrate	n/a	n/a	D222	n/a	19
463.2240044258	n/a	n/a	concentrate	n/a	n/a	D215	n/a	20
464.3839961222	n/a	n/a	concentrate	n/a	n/a	D215	n/a	21
465.4600011489	n/a	n/a	relax	n/a	n/a	DI96	n/a	22
466.3999980620	n/a	n/a	relax	n/a	n/a	DI92	n/a	23
467.4600003592	n/a	n/a	relax	n/a	n/a	DI81	n/a	24
468.6239952526	n/a	n/a	relax	n/a	n/a	DI87	n/a	25
469.6760012141	n/a	n/a	relax	n/a	n/a	DI80	n/a	26
470.6519967250	n/a	n/a	relax	n/a	n/a	DI89	n/a	27
471.8040021441	n/a	n/a	relax	n/a	n/a	DI86	n/a	28
472.7399958602	n/a	n/a	relax	n/a	n/a	DI87	n/a	29
473.8999976150	n/a	n/a	relax	n/a	n/a	DI87	n/a	30
474.8480009220	n/a	n/a	relax	n/a	n/a	DI89	n/a	31
475.8920004896	n/a	n/a	relax	n/a	n/a	DI91	n/a	32
476.9479995898	n/a	n/a	relax	n/a	n/a	DI87	n/a	33
478.0200014195	n/a	n/a	getready	n/a	n/a	D159	n/a	1
479.1879995099	n/a	n/a	getready	n/a	n/a	D157	n/a	2
480.2279958806	n/a	n/a	getready	n/a	n/a	D146	n/a	3
481.1959950558	n/a	n/a	getready	n/a	n/a	D149	n/a	4
482.2439978204	n/a	n/a	getready	n/a	n/a	D157	n/a	5
483.3999963782	n/a	n/a	getready	n/a	n/a	D161	n/a	6
484.2559965632	n/a	n/a	concentrate	n/a	n/a	D219	n/a	7
485.4080019823	n/a	n/a	concentrate	n/a	n/a	D222	n/a	8
486.5640005401	n/a	n/a	concentrate	n/a	n/a	D226	n/a	9
487.5000043145	n/a	n/a	concentrate	n/a	n/a	D211	n/a	10
488.6519996754	n/a	n/a	concentrate	n/a	n/a	D214	n/a	11
489.5880034498	n/a	n/a	concentrate	n/a	n/a	D219	n/a	12
490.7440020076	n/a	n/a	concentrate	n/a	n/a	D223	n/a	13
491.6799957237	n/a	n/a	concentrate	n/a	n/a	D217	n/a	14
492.8320011429	n/a	n/a	concentrate	n/a	n/a	D213	n/a	15
493.7719980559	n/a	n/a	concentrate	n/a	n/a	D216	n/a	16
494.9279966137	n/a	n/a	concentrate	n/a	n/a	D217	n/a	17
495.8839962564	n/a	n/a	concentrate	n/a	n/a	D214	n/a	18
496.9399953566	n/a	n/a	concentrate	n/a	n/a	D213	n/a	19
497.9920013181	n/a	n/a	concentrate	n/a	n/a	D211	n/a	20
499.0520036153	n/a	n/a	concentrate	n/a	n/a	D218	n/a	21
500.2440007708	n/a	n/a	relax	n/a	n/a	DI84	n/a	22
501.1800045452	n/a	n/a	relax	n/a	n/a	DI87	n/a	23
502.3360031030	n/a	n/a	relax	n/a	n/a	D100	n/a	24
503.2800032130	n/a	n/a	relax	n/a	n/a	DI92	n/a	25
504.4439981065	n/a	n/a	relax	n/a	n/a	DI85	n/a	26
505.3999977491	n/a	n/a	relax	n/a	n/a	DI94	n/a	27
506.5640027008	n/a	n/a	relax	n/a	n/a	DI91	n/a	28
507.4999964169	n/a	n/a	relax	n/a	n/a	DI92	n/a	29
508.6520018361	n/a	n/a	relax	n/a	n/a	DI83	n/a	30
509.5879955522	n/a	n/a	relax	n/a	n/a	DI90	n/a	31
510.7400009713	n/a	n/a	relax	n/a	n/a	DI93	n/a	32
511.6960006139	n/a	n/a	getready	n/a	n/a	D158	n/a	1
512.8479959748	n/a	n/a	getready	n/a	n/a	D154	n/a	2
513.8880024037	n/a	n/a	getready	n/a	n/a	D152	n/a	3
514.8440020463	n/a	n/a	getready	n/a	n/a	D156	n/a	4
516.0000006042	n/a	n/a	getready	n/a	n/a	D151	n/a	5
516.9320011816	n/a	n/a	getready	n/a	n/a	D150	n/a	6
518.0160025439	n/a	n/a	concentrate	n/a	n/a	D224	n/a	7
519.1799974374	n/a	n/a	concentrate	n/a	n/a	D223	n/a	8
520.1119980148	n/a	n/a	concentrate	n/a	n/a	D221	n/a	9
521.3000020317	n/a	n/a	concentrate	n/a	n/a	D223	n/a	10
522.2440021417	n/a	n/a	concentrate	n/a	n/a	D213	n/a	11
523.3959975026	n/a	n/a	concentrate	n/a	n/a	D215	n/a	12
524.4600029967	n/a	n/a	concentrate	n/a	n/a	D216	n/a	13
525.4040031067	n/a	n/a	concentrate	n/a	n/a	D215	n/a	14
526.5600016645	n/a	n/a	concentrate	n/a	n/a	D222	n/a	15
527.4999985776	n/a	n/a	concentrate	n/a	n/a	D217	n/a	16
528.6520039967	n/a	n/a	concentrate	n/a	n/a	D209	n/a	17
529.7119962356	n/a	n/a	concentrate	n/a	n/a	D213	n/a	18
530.6480000100	n/a	n/a	concentrate	n/a	n/a	D214	n/a	19
531.6919995776	n/a	n/a	concentrate	n/a	n/a	D219	n/a	20
532.8599976680	n/a	n/a	concentrate	n/a	n/a	D224	n/a	21
533.8279968432	n/a	n/a	relax	n/a	n/a	DI84	n/a	22
534.9759990654	n/a	n/a	relax	n/a	n/a	DI82	n/a	23
535.9199991754	n/a	n/a	relax	n/a	n/a	DI88	n/a	24
536.9840046695	n/a	n/a	relax	n/a	n/a	DI95	n/a	25
538.0400037698	n/a	n/a	relax	n/a	n/a	DI99	n/a	26
539.2039986632	n/a	n/a	relax	n/a	n/a	DI85	n/a	27
540.2560046247	n/a	n/a	relax	n/a	n/a	DI97	n/a	28
541.1919983408	n/a	n/a	relax	n/a	n/a	DI86	n/a	29
542.3479968987	n/a	n/a	relax	n/a	n/a	DI86	n/a	30
543.2799974761	n/a	n/a	relax	n/a	n/a	DI86	n/a	31
544.4359960339	n/a	n/a	relax	n/a	n/a	DI97	n/a	32
545.4199979386	n/a	n/a	getready	n/a	n/a	D146	n/a	1
546.4639975063	n/a	n/a	getready	n/a	n/a	D149	n/a	2
547.6199960641	n/a	n/a	getready	n/a	n/a	D153	n/a	3
548.5840021006	n/a	n/a	getready	n/a	n/a	D156	n/a	4
549.7320043228	n/a	n/a	getready	n/a	n/a	D160	n/a	5
550.6919971040	n/a	n/a	getready	n/a	n/a	D151	n/a	6
551.8800011209	n/a	n/a	concentrate	n/a	n/a	D220	n/a	7
552.9319970242	n/a	n/a	concentrate	n/a	n/a	D212	n/a	8
553.8680007986	n/a	n/a	concentrate	n/a	n/a	D225	n/a	9
554.9120003662	n/a	n/a	concentrate	n/a	n/a	D220	n/a	10
555.9639962695	n/a	n/a	concentrate	n/a	n/a	D224	n/a	11
557.0119990340	n/a	n/a	concentrate	n/a	n/a	D215	n/a	12
558.0799976668	n/a	n/a	concentrate	n/a	n/a	D218	n/a	13
559.2440026186	n/a	n/a	concentrate	n/a	n/a	D226	n/a	14
560.1799963347	n/a	n/a	concentrate	n/a	n/a	D215	n/a	15
561.3480044833	n/a	n/a	concentrate	n/a	n/a	D216	n/a	16
562.2839981995	n/a	n/a	concentrate	n/a	n/a	D213	n/a	17
563.4360036186	n/a	n/a	concentrate	n/a	n/a	D219	n/a	18
564.4839963249	n/a	n/a	concentrate	n/a	n/a	D216	n/a	19
565.4159969023	n/a	n/a	concentrate	n/a	n/a	D220	n/a	20
566.5800018541	n/a	n/a	concentrate	n/a	n/a	D220	n/a	21
567.5679968975	n/a	n/a	relax	n/a	n/a	DI85	n/a	22
568.7320018492	n/a	n/a	relax	n/a	n/a	DI87	n/a	23
569.6760019592	n/a	n/a	relax	n/a	n/a	DI89	n/a	24
570.8320005170	n/a	n/a	relax	n/a	n/a	DI88	n/a	25
571.7800038240	n/a	n/a	relax	n/a	n/a	DI90	n/a	26
572.7559993348	n/a	n/a	relax	n/a	n/a	DI89	n/a	27
573.9239974252	n/a	n/a	relax	n/a	n/a	DI89	n/a	28
574.9640038542	n/a	n/a	relax	n/a	n/a	DI86	n/a	29
575.9399993650	n/a	n/a	getready	n/a	n/a	D151	n/a	1
576.9880021296	n/a	n/a	getready	n/a	n/a	D152	n/a	2
578.0399980328	n/a	n/a	getready	n/a	n/a	D147	n/a	3
579.1199961982	n/a	n/a	getready	n/a	n/a	D147	n/a	4
580.2840011499	n/a	n/a	getready	n/a	n/a	D144	n/a	5
581.2160017273	n/a	n/a	getready	n/a	n/a	D150	n/a	6
582.4039956859	n/a	n/a	concentrate	n/a	n/a	D228	n/a	7
583.3399994603	n/a	n/a	concentrate	n/a	n/a	D222	n/a	8
584.4959980181	n/a	n/a	concentrate	n/a	n/a	D215	n/a	9
585.4279985956	n/a	n/a	concentrate	n/a	n/a	D213	n/a	10
586.5880003504	n/a	n/a	concentrate	n/a	n/a	D218	n/a	11
587.5240041248	n/a	n/a	concentrate	n/a	n/a	D217	n/a	12
588.6759994856	n/a	n/a	concentrate	n/a	n/a	D219	n/a	13
589.8280049047	n/a	n/a	concentrate	n/a	n/a	D212	n/a	14
590.7680018178	n/a	n/a	concentrate	n/a	n/a	D220	n/a	15
591.7039955339	n/a	n/a	concentrate	n/a	n/a	D218	n/a	16
592.8600041500	n/a	n/a	concentrate	n/a	n/a	D219	n/a	17
594.0160027078	n/a	n/a	concentrate	n/a	n/a	D222	n/a	18
594.9639959565	n/a	n/a	concentrate	n/a	n/a	D214	n/a	19
596.0280014507	n/a	n/a	concentrate	n/a	n/a	D207	n/a	20
597.1919963441	n/a	n/a	concentrate	n/a	n/a	D222	n/a	21
598.0479965291	n/a	n/a	relax	n/a	n/a	DI91	n/a	22
599.1159951619	n/a	n/a	relax	n/a	n/a	DI89	n/a	23
600.2840033106	n/a	n/a	relax	n/a	n/a	DI80	n/a	24
601.2199970267	n/a	n/a	relax	n/a	n/a	DI95	n/a	25
602.2679997913	n/a	n/a	relax	n/a	n/a	DI92	n/a	26
603.4599969468	n/a	n/a	relax	n/a	n/a	DI90	n/a	27
604.3960007212	n/a	n/a	relax	n/a	n/a	DI93	n/a	28
605.5479960821	n/a	n/a	relax	n/a	n/a	DI85	n/a	29
606.4880030534	n/a	n/a	relax	n/a	n/a	DI96	n/a	30
607.6440016112	n/a	n/a	relax	n/a	n/a	DI87	n/a	31
608.7199965796	n/a	n/a	getready	n/a	n/a	D165	n/a	1
609.6560003541	n/a	n/a	getready	n/a	n/a	D146	n/a	2
610.7040031186	n/a	n/a	getready	n/a	n/a	D149	n/a	3
611.8880039386	n/a	n/a	getready	n/a	n/a	D156	n/a	4
612.9440030388	n/a	n/a	getready	n/a	n/a	D155	n/a	5
613.8839999518	n/a	n/a	getready	n/a	n/a	D150	n/a	6
614.9680013142	n/a	n/a	concentrate	n/a	n/a	D213	n/a	7
616.0359999470	n/a	n/a	concentrate	n/a	n/a	D215	n/a	8
617.1919985048	n/a	n/a	concentrate	n/a	n/a	D217	n/a	9
618.1319954178	n/a	n/a	concentrate	n/a	n/a	D211	n/a	10
619.2799976400	n/a	n/a	concentrate	n/a	n/a	D214	n/a	11
620.2200046114	n/a	n/a	concentrate	n/a	n/a	D208	n/a	12
621.3719999722	n/a	n/a	concentrate	n/a	n/a	D214	n/a	13
622.3119968853	n/a	n/a	concentrate	n/a	n/a	D215	n/a	14
623.4640023044	n/a	n/a	concentrate	n/a	n/a	D212	n/a	15
624.5119950107	n/a	n/a	concentrate	n/a	n/a	D215	n/a	16
625.4520019821	n/a	n/a	concentrate	n/a	n/a	D219	n/a	17
626.6159968755	n/a	n/a	concentrate	n/a	n/a	D210	n/a	18
627.5520006499	n/a	n/a	concentrate	n/a	n/a	D225	n/a	19
628.7159955434	n/a	n/a	concentrate	n/a	n/a	D218	n/a	20
629.6599956534	n/a	n/a	concentrate	n/a	n/a	D213	n/a	21
630.8400033346	n/a	n/a	relax	n/a	n/a	DI93	n/a	22
631.7759970508	n/a	n/a	relax	n/a	n/a	DI88	n/a	23
632.9400020025	n/a	n/a	relax	n/a	n/a	DI93	n/a	24
633.8799989156	n/a	n/a	relax	n/a	n/a	DI86	n/a	25
635.0400006703	n/a	n/a	relax	n/a	n/a	DI99	n/a	26
636.0079998455	n/a	n/a	relax	n/a	n/a	DI85	n/a	27
637.0479962162	n/a	n/a	relax	n/a	n/a	DI92	n/a	28
638.2000016353	n/a	n/a	relax	n/a	n/a	DI93	n/a	29
639.1399985484	n/a	n/a	relax	n/a	n/a	DI88	n/a	30
640.3079966388	n/a	n/a	getready	n/a	n/a	D150	n/a	1
641.2480036101	n/a	n/a	getready	n/a	n/a	D152	n/a	2
642.2959963164	n/a	n/a	getready	n/a	n/a	D154	n/a	3
643.4919966689	n/a	n/a	getready	n/a	n/a	D152	n/a	4
644.4280004433	n/a	n/a	getready	n/a	n/a	D147	n/a	5
645.5839990011	n/a	n/a	getready	n/a	n/a	D154	n/a	6
646.5519981763	n/a	n/a	concentrate	n/a	n/a	D220	n/a	7
647.7040035955	n/a	n/a	concentrate	n/a	n/a	D206	n/a	8
648.6399973116	n/a	n/a	concentrate	n/a	n/a	D215	n/a	9
649.7959958694	n/a	n/a	concentrate	n/a	n/a	D215	n/a	10
650.7279964468	n/a	n/a	concentrate	n/a	n/a	D221	n/a	11
651.8879982016	n/a	n/a	concentrate	n/a	n/a	D218	n/a	12
653.0400036207	n/a	n/a	concentrate	n/a	n/a	D218	n/a	13
653.9759973369	n/a	n/a	concentrate	n/a	n/a	D219	n/a	14
655.0240001014	n/a	n/a	concentrate	n/a	n/a	D221	n/a	15
656.0879955373	n/a	n/a	concentrate	n/a	n/a	D219	n/a	16
657.2520004890	n/a	n/a	concentrate	n/a	n/a	D218	n/a	17
658.3000032536	n/a	n/a	concentrate	n/a	n/a	D216	n/a	18
659.2320038310	n/a	n/a	concentrate	n/a	n/a	D222	n/a	19
660.3880023888	n/a	n/a	concentrate	n/a	n/a	D212	n/a	20
661.3159997693	n/a	n/a	concentrate	n/a	n/a	D227	n/a	21
662.4959973923	n/a	n/a	relax	n/a	n/a	DI90	n/a	22
663.4279979697	n/a	n/a	relax	n/a	n/a	DI82	n/a	23
664.5839965276	n/a	n/a	relax	n/a	n/a	DI85	n/a	24
665.5159971050	n/a	n/a	relax	n/a	n/a	DI83	n/a	25
666.6719956628	n/a	n/a	relax	n/a	n/a	DI90	n/a	26
667.6400048963	n/a	n/a	relax	n/a	n/a	DI84	n/a	27
668.7920002571	n/a	n/a	relax	n/a	n/a	DI91	n/a	28
669.7319971702	n/a	n/a	relax	n/a	n/a	DI84	n/a	29
670.8840025893	n/a	n/a	relax	n/a	n/a	DI85	n/a	30
671.9599975578	n/a	n/a	getready	n/a	n/a	D158	n/a	1
672.9159972004	n/a	n/a	getready	n/a	n/a	D157	n/a	2
673.9560036293	n/a	n/a	getready	n/a	n/a	D158	n/a	3
675.0559976629	n/a	n/a	getready	n/a	n/a	D148	n/a	4
676.0080041668	n/a	n/a	getready	n/a	n/a	D145	n/a	5
677.0600000701	n/a	n/a	getready	n/a	n/a	D160	n/a	6
678.1440014324	n/a	n/a	concentrate	n/a	n/a	D216	n/a	7
679.3079963259	n/a	n/a	concentrate	n/a	n/a	D221	n/a	8
680.2440001003	n/a	n/a	concentrate	n/a	n/a	D215	n/a	9
681.3999986581	n/a	n/a	concentrate	n/a	n/a	D217	n/a	10
682.3360024325	n/a	n/a	concentrate	n/a	n/a	D223	n/a	11
683.4920009903	n/a	n/a	concentrate	n/a	n/a	D222	n/a	12
684.4280047647	n/a	n/a	concentrate	n/a	n/a	D219	n/a	13
685.5720037899	n/a	n/a	concentrate	n/a	n/a	D221	n/a	14
686.7319954864	n/a	n/a	concentrate	n/a	n/a	D224	n/a	15
687.6720024577	n/a	n/a	concentrate	n/a	n/a	D213	n/a	16
688.8280010155	n/a	n/a	concentrate	n/a	n/a	D221	n/a	17
689.7640047899	n/a	n/a	concentrate	n/a	n/a	D223	n/a	18
690.9160001508	n/a	n/a	concentrate	n/a	n/a	D212	n/a	19
691.9559965215	n/a	n/a	concentrate	n/a	n/a	D227	n/a	20
692.9080030254	n/a	n/a	concentrate	n/a	n/a	D219	n/a	21
694.0079970590	n/a	n/a	relax	n/a	n/a	DI93	n/a	22
695.0639961592	n/a	n/a	relax	n/a	n/a	DI86	n/a	23
696.1320048503	n/a	n/a	relax	n/a	n/a	DI92	n/a	24
697.3000029407	n/a	n/a	relax	n/a	n/a	DI91	n/a	25
698.2479961894	n/a	n/a	relax	n/a	n/a	DI95	n/a	26
