onset	duration	 sample	trial_type	response_time	value
155.5660	0	178	TRIGGER	5.1095	28
155.6664	2.5845	178	DOT_FLIP	N/A	0
155.9993	0.1166	178	KEYPRESS	0.3411	1
156.4487	0	179	TRIGGER	6.2187	28
157.3150	0	180	TRIGGER	1.0241	29
157.8321	2.1631	180	DOT_FLIP	N/A	1
158.1987	0	181	TRIGGER	2.1347	29
158.1654	0.1500	181	KEYPRESS	0.3441	1
158.6987	0.8611	181	DOT_FLIP	N/A	0
159.0654	0	182	TRIGGER	3.2237	29
159.1987	0.1833	182	KEYPRESS	0.5164	1
159.9322	0	183	TRIGGER	4.3130	29
160.4487	1.7551	183	DOT_FLIP	N/A	1
160.8154	0	184	TRIGGER	5.4229	29
160.7653	0.1505	184	KEYPRESS	0.3279	1
161.6814	0	185	TRIGGER	0.2280	30
162.2482	1.7998	185	DOT_FLIP	N/A	0
162.5648	0	186	TRIGGER	1.3381	30
162.6815	0.1666	186	KEYPRESS	0.4443	1
163.4315	0	187	TRIGGER	2.4272	30
164.3147	0	188	TRIGGER	3.5371	30
164.9815	2.7313	188	DOT_FLIP	N/A	1
165.1815	0	189	TRIGGER	4.6263	30
165.2982	0.1333	189	KEYPRESS	0.3296	1
166.0481	0	190	TRIGGER	5.7153	30
166.8976	1.9160	190	DOT_FLIP	N/A	0
166.9309	0	191	TRIGGER	0.5415	31
167.2820	0.1323	191	KEYPRESS	0.3974	1
167.7976	0	192	TRIGGER	1.6306	31
168.6810	0	193	TRIGGER	2.7407	31
169.5476	0	194	TRIGGER	3.8297	31
169.7476	2.8627	194	DOT_FLIP	N/A	1
170.2487	0.1491	194	KEYPRESS	0.5014	1
170.4309	0	195	TRIGGER	4.9397	31
171.2976	0	196	TRIGGER	6.0288	31
172.1802	0	197	TRIGGER	0.8548	32
172.4637	2.7022	197	DOT_FLIP	N/A	0
172.7470	0.1667	197	KEYPRESS	0.2976	1
173.0470	0	198	TRIGGER	1.9441	32
173.3137	0.8556	198	DOT_FLIP	N/A	1
173.6804	0.1499	198	KEYPRESS	0.3754	1
173.9137	0	199	TRIGGER	3.0332	32
174.7970	0	200	TRIGGER	4.1432	32
175.6635	0	201	TRIGGER	5.2320	32
175.7696	2.4613	201	DOT_FLIP	N/A	0
176.0637	0.1833	201	KEYPRESS	0.2974	1
176.5464	0	202	TRIGGER	0.0583	33
177.4131	0	203	TRIGGER	1.1475	33
178.2964	0	204	TRIGGER	2.2574	33
178.4132	2.6455	204	DOT_FLIP	N/A	1
178.7300	0.1329	204	KEYPRESS	0.3182	1
179.1675	0	205	TRIGGER	3.3520	33
180.0466	0	206	TRIGGER	4.4568	33
180.1465	1.7281	206	DOT_FLIP	N/A	0
180.4631	0.1670	206	KEYPRESS	0.3233	1
180.9131	0	207	TRIGGER	5.5457	33
181.7292	1.5789	207	DOT_FLIP	N/A	1
181.7792	0	208	TRIGGER	0.3509	34
182.0459	0.1500	208	KEYPRESS	0.3271	1
182.6681	0	209	TRIGGER	1.4678	34
183.5293	0	210	TRIGGER	2.5501	34
184.4126	0	211	TRIGGER	3.6600	34
184.4459	2.7233	211	DOT_FLIP	N/A	0
184.7459	0.1333	211	KEYPRESS	0.3039	1
185.2792	0	212	TRIGGER	4.7491	34
185.8125	1.3643	212	DOT_FLIP	N/A	1
186.1626	0	213	TRIGGER	5.8592	34
186.1293	0.1663	213	KEYPRESS	0.3229	1
187.0287	0	214	TRIGGER	0.6644	35
187.9119	0	215	TRIGGER	1.7743	35
188.1121	2.2951	215	DOT_FLIP	N/A	0
188.4453	0.1500	215	KEYPRESS	0.3438	1
188.7787	0	216	TRIGGER	2.8635	35
189.6453	0	217	TRIGGER	3.9525	35
190.5285	0	218	TRIGGER	5.0623	35
190.9120	2.8097	218	DOT_FLIP	N/A	1
191.2287	0.1334	218	KEYPRESS	0.3175	1
191.3953	0	219	TRIGGER	6.1517	35
192.1448	1.2261	219	DOT_FLIP	N/A	0
192.2781	0	220	TRIGGER	0.9778	36
192.5281	0.1499	220	KEYPRESS	0.3908	1
193.1448	0	221	TRIGGER	2.0669	36
193.4948	1.3570	221	DOT_FLIP	N/A	1
194.0281	0	222	TRIGGER	3.1769	36
193.8781	0.1834	222	KEYPRESS	0.3837	1
194.8948	1.3863	222	DOT_FLIP	N/A	0
194.8948	0	223	TRIGGER	4.2660	36
195.2448	0.1500	223	KEYPRESS	0.3641	1
195.7615	0	224	TRIGGER	5.3551	36
196.6442	0	225	TRIGGER	0.1813	37
197.5109	0	226	TRIGGER	1.2703	37
197.5443	2.6513	226	DOT_FLIP	N/A	1
197.8443	0.1489	226	KEYPRESS	0.3123	1
198.3943	0	227	TRIGGER	2.3804	37
