onset	duration	trial_type	response	response_time	stim	sub
184.7	6	1_acc	2	3.485086	c17.jpg	121
193.5	6	1_miss	NA	NA	c18.jpg	121
205.6	6	1_acc	2	4.965175	c1.jpg	121
216.2	6	5_acc	1	4.793729	c15.jpg	121
227.9	6	5_inacc	2	4.275112	c22.jpg	121
236.3	6	1_inacc	1	5.874347	c11.jpg	121
3.1	6	1_inacc	1	4.915654	c2.jpg	122
13.3	6	1_acc	4	4.751458	c19.jpg	122
25.4	6	1_acc	3	4.855524	c21.jpg	122
35.3	6	1_acc	3	2.063463	c17.jpg	122
44.5	6	5_inacc	4	3.790222	c3.jpg	122
55.4	6	5_acc	1	1.56252	c24.jpg	122
66.8	6	5_acc	4	5.082624	c15.jpg	122
75.9	6	5_acc	1	4.159435	c4.jpg	122
85.8	6	5_acc	3	5.730587	c23.jpg	122
94.2	6	5_acc	2	4.95278	c5.jpg	122
104.5	6	1_acc	1	4.044967	c10.jpg	122
113.3	6	5_inacc	3	2.226546	c9.jpg	122
121.4	6	1_inacc	1	3.323485	c13.jpg	122
132.7	6	1_inacc	1	2.218856	c16.jpg	122
141.1	6	1_inacc	4	3.294844	c1.jpg	122
151.8	6	5_acc	4	4.310776	c14.jpg	122
163.4	6	1_inacc	4	3.914488	c18.jpg	122
174.4	6	1_inacc	4	4.927569	c8.jpg	122
186.1	6	5_acc	1	2.861568	c22.jpg	122
194.9	6	5_acc	3	3.528503	c12.jpg	122
207	6	1_acc	2	4.1415	c11.jpg	122
216.5	6	5_acc	1	2.56087	c20.jpg	122
226	6	5_inacc	1	4.827243	c7.jpg	122
236.7	6	1_acc	1	3.963776	c6.jpg	122
3.07	6	5_acc	4	3.627053	c12.jpg	125
11.9	6	1_inacc	4	4.269849	c13.jpg	125
22.52	6	5_acc	1	1.210946	c3.jpg	125
32.05	6	5_acc	1	2.55894	c7.jpg	125
41.93	6	1_inacc	4	3.960842	c10.jpg	125
52.19	6	1_inacc	4	4.02335	c2.jpg	125
62.08	6	5_inacc	2	5.799265	c4.jpg	125
70.51	6	5_acc	1	1.729264	c22.jpg	125
81.86	6	5_inacc	3	4.982293	c14.jpg	125
92.84	6	1_acc	2	4.25949	c16.jpg	125
104.92	6	1_acc	3	2.656947	c6.jpg	125
113.71	6	5_acc	3	3.676396	c24.jpg	125
125.78	6	1_acc	4	4.162947	c21.jpg	125
137.12	6	5_acc	4	2.189671	c15.jpg	125
147.4	6	1_inacc	2	4.050908	c11.jpg	125
155.46	6	5_acc	3	3.889996	c5.jpg	125
167.17	6	1_inacc	2	3.2255	c8.jpg	125
178.15	6	5_acc	2	3.711795	c23.jpg	125
188.76	6	5_inacc	2	4.309932	c20.jpg	125
197.91	6	1_acc	2	5.323453	c19.jpg	125
207.07	6	1_acc	3	3.014565	c17.jpg	125
215.48	6	1_inacc	1	4.727946	c18.jpg	125
227.19	6	5_acc	1	5.736981	c9.jpg	125
235.26	6	1_inacc	4	4.944756	c1.jpg	125
3.09	6	5_miss	NA	NA	c16.jpg	127
14.46	6	1_acc	4	1.88439	c20.jpg	127
22.92	6	1_inacc	4	4.719991	c23.jpg	127
31.01	6	1_acc	3	2.823368	c4.jpg	127
42.39	6	5_acc	3	4.092569	c2.jpg	127
54.13	6	5_inacc	1	4.842747	c11.jpg	127
65.11	6	5_acc	1	3.569883	c6.jpg	127
75.74	6	1_inacc	4	3.008686	c14.jpg	127
85.27	6	1_inacc	2	3.132812	c5.jpg	127
97.36	6	1_inacc	4	2.997404	c9.jpg	127
107.61	6	1_inacc	3	2.416896	c12.jpg	127
119.31	6	5_inacc	1	4.617985	c8.jpg	127
127.39	6	5_acc	3	4.080009	c10.jpg	127
136.18	6	5_acc	2	4.151846	c21.jpg	127
146.42	6	1_inacc	1	4.673221	c22.jpg	127
157.4	6	1_inacc	2	3.276479	c24.jpg	127
168.02	6	1_inacc	1	4.370959	c3.jpg	127
177.91	6	5_inacc	1	4.910056	c13.jpg	127
186.34	6	1_inacc	2	3.170849	c15.jpg	127
195.49	6	5_inacc	1	4.735686	c19.jpg	127
205.39	6	5_acc	4	1.349036	c17.jpg	127
214.92	6	5_acc	1	2.378805	c18.jpg	127
226.99	6	1_inacc	2	3.382042	c7.jpg	127
235.8	6	5_inacc	1	4.155052	c1.jpg	127
3	6	5_acc	2	2.487412	c8.jpg	132
12.6	6	1_acc	2	3.777001	c23.jpg	132
21.7	6	5_inacc	1	3.84638	c6.jpg	132
30.2	6	5_acc	1	3.265349	c10.jpg	132
41.9	6	1_inacc	1	4.162087	c12.jpg	132
52.1	6	1_acc	3	2.94676	c9.jpg	132
63.1	6	5_inacc	4	3.505002	c1.jpg	132
71.2	6	5_acc	3	4.58896	c11.jpg	132
80.3	6	5_acc	2	3.475024	c2.jpg	132
90.6	6	1_acc	1	2.85575	c24.jpg	132
101.2	6	5_acc	1	3.31725	c17.jpg	132
111.1	6	1_inacc	3	5.050825	c15.jpg	132
121	6	1_inacc	2	5.336981	c7.jpg	132
133	6	1_inacc	3	3.02215	c5.jpg	132
144.4	6	5_acc	1	3.48088	c18.jpg	132
155.3	6	5_acc	3	3.796983	c13.jpg	132
167.4	6	5_acc	1	1.898213	c16.jpg	132
178.7	6	1_inacc	3	4.694396	c3.jpg	132
187.2	6	1_inacc	2	4.985243	c14.jpg	132
198.9	6	5_acc	3	3.291918	c19.jpg	132
207.7	6	1_inacc	2	2.417765	c4.jpg	132
217.2	6	5_acc	1	4.45532	c21.jpg	132
227.8	6	1_inacc	2	5.013936	c20.jpg	132
236.6	6	1_inacc	2	3.841084	c22.jpg	132
3.106	6	1_acc	1	2.680797	c4.jpg	134
12.31	6	5_acc	2	1.67858	c1.jpg	134
22.583	6	5_acc	3	3.55237	c6.jpg	134
33.552	6	5_acc	1	2.232077	c21.jpg	134
44.916	6	1_acc	3	3.523199	c7.jpg	134
55.891	6	1_inacc	1	2.448319	c9.jpg	134
64.699	6	5_inacc	3	2.796107	c2.jpg	134
72.774	6	1_inacc	3	2.259903	c22.jpg	134
84.129	6	5_inacc	3	2.187471	c10.jpg	134
93.294	6	1_acc	3	3.510875	c20.jpg	134
101.378	6	1_acc	1	4.52E-04	c24.jpg	134
109.798	6	5_acc	4	3.346778	c16.jpg	134
121.51	6	5_acc	1	3.10582	c19.jpg	134
131.394	6	5_inacc	1	3.98E-04	c18.jpg	134
142.018	6	1_acc	2	2.058248	c3.jpg	134
154.085	6	5_acc	1	1.294452	c8.jpg	134
162.521	6	5_acc	2	2.304078	c13.jpg	134
171.323	6	1_acc	4	4.035431	c5.jpg	134
181.57	6	1_inacc	4	2.548723	c12.jpg	134
193.276	6	5_inacc	3	3.859069	c17.jpg	134
202.799	6	1_acc	2	2.64759	c15.jpg	134
212.685	6	1_acc	4	5.141734	c14.jpg	134
223.309	6	5_inacc	4	3.540725	c11.jpg	134
235.373	6	1_acc	4	3.859644	c23.jpg	134
3.1	6	1_inacc	2	3.84497	c17.jpg	135
11.6	6	1_inacc	1	3.242732	c19.jpg	135
22.2	6	5_inacc	4	3.557635	c22.jpg	135
33.6	6	5_inacc	1	2.676148	c4.jpg	135
43.1	6	5_inacc	2	4.309275	c24.jpg	135
51.2	6	5_inacc	4	3.368631	c5.jpg	135
63.3	6	5_inacc	2	1.947763	c23.jpg	135
74.2	6	1_acc	1	2.613465	c13.jpg	135
82.3	6	1_acc	3	4.966788	c1.jpg	135
92.6	6	5_inacc	3	3.711354	c9.jpg	135
103.2	6	5_inacc	2	2.301777	c15.jpg	135
113.5	6	5_acc	4	3.072593	c3.jpg	135
122.3	6	5_acc	1	2.491554	c20.jpg	135
130.8	6	1_inacc	4	2.926374	c11.jpg	135
142.1	6	5_inacc	2	3.062626	c12.jpg	135
152	6	5_inacc	1	4.594233	c7.jpg	135
161.1	6	1_inacc	3	5.277438	c16.jpg	135
172.9	6	1_miss	NA	NA	c21.jpg	135
184.9	6	1_inacc	2	1.83658	c18.jpg	135
194.8	6	1_inacc	4	3.215668	c6.jpg	135
203.9	6	5_acc	1	3.200107	c14.jpg	135
215.7	6	1_acc	4	5.142282	c2.jpg	135
226.6	6	1_inacc	2	3.922243	c10.jpg	135
236.2	6	1_miss	NA	NA	c8.jpg	135
3	6	5_inacc	3	2.91	c23.jpg	141
15	6	1_inacc	2	2.38	c16.jpg	141
25.6	6	5_acc	2	2.97	c20.jpg	141
35.7	6	5_acc	4	1.5	c24.jpg	141
47	6	1_acc	1	2	c19.jpg	141
58.3	6	5_acc	4	2.69	c4.jpg	141
68.8	6	1_acc	1	1.88	c18.jpg	141
80.8	6	5_acc	2	2	c5.jpg	141
89.6	6	1_inacc	1	2.39	c6.jpg	141
98.3	6	5_acc	4	1.73	c9.jpg	141
108	6	1_acc	2	2.77	c17.jpg	141
116	6	1_inacc	3	2.91	c2.jpg	141
124	6	5_acc	2	1.63	c22.jpg	141
132	6	1_inacc	2	2.35	c11.jpg	141
141	6	1_acc	4	2.16	c13.jpg	141
152	6	1_acc	2	2.86	c21.jpg	141
162	6	5_inacc	2	2.41	c12.jpg	141
174	6	1_inacc	4	2.46	c8.jpg	141
184	6	1_inacc	3	3.02	c10.jpg	141
195	6	1_inacc	4	2.26	c1.jpg	141
205	6	5_acc	3	2.68	c7.jpg	141
214	6	5_acc	4	1.5	c3.jpg	141
222	6	5_inacc	2	3.28	c14.jpg	141
232	6	5_acc	2	3.26	c15.jpg	141
3.1	6	5_acc	4	2.283368	c8.jpg	143
15.1	6	1_inacc	4	3.755404	c12.jpg	143
26.5	6	5_acc	4	1.633394	c10.jpg	143
35.6	6	1_inacc	1	3.352473	c20.jpg	143
45.9	6	5_acc	3	3.351301	c18.jpg	143
54.7	6	1_acc	4	2.121253	c15.jpg	143
66.7	6	1_inacc	3	3.207969	c24.jpg	143
74.8	6	5_acc	3	4.377163	c13.jpg	143
86.5	6	1_inacc	2	3.748426	c5.jpg	143
95.7	6	1_acc	3	2.178547	c3.jpg	143
106.3	6	5_acc	2	1.993539	c2.jpg	143
117.3	6	5_acc	1	1.612502	c17.jpg	143
125.4	6	1_inacc	1	2.957666	c22.jpg	143
134.9	6	5_acc	1	2.341599	c21.jpg	143
144.8	6	1_inacc	1	2.777238	c4.jpg	143
153.2	6	5_acc	3	3.79291	c11.jpg	143
164.5	6	1_acc	2	4.318303	c9.jpg	143
175.5	6	5_inacc	3	3.973107	c1.jpg	143
183.9	6	5_inacc	2	3.219172	c19.jpg	143
194.2	6	5_acc	3	4.581077	c6.jpg	143
203.7	6	1_acc	3	3.450625	c23.jpg	143
212.5	6	1_acc	2	3.248509	c7.jpg	143
222.4	6	5_inacc	2	4.160501	c16.jpg	143
233	6	1_acc	4	2.869034	c14.jpg	143
3.1	6	5_inacc	4	3.192746	c2.jpg	146
14.13	6	5_acc	1	2.080644	c8.jpg	146
22.94	6	5_inacc	3	2.389666	c17.jpg	146
33.21	6	1_inacc	4	2.916281	c22.jpg	146
44.93	6	1_acc	2	3.151779	c24.jpg	146
53.73	6	1_inacc	4	3.661179	c15.jpg	146
61.82	6	1_inacc	4	4.344766	c12.jpg	146
71.71	6	5_acc	3	2.462992	c10.jpg	146
81.62	6	5_acc	1	3.024928	c11.jpg	146
90.78	6	1_inacc	2	3.390783	c7.jpg	146
100.29	6	5_acc	2	3.65819	c13.jpg	146
111.64	6	5_inacc	1	2.53169	c1.jpg	146
123.34	6	1_acc	3	3.609139	c9.jpg	146
134.68	6	1_inacc	2	3.206418	c23.jpg	146
144.92	6	5_acc	2	2.677754	c21.jpg	146
153.39	6	1_inacc	1	2.855931	c3.jpg	146
162.55	6	1_acc	2	3.391326	c4.jpg	146
173.17	6	5_acc	4	3.623653	c19.jpg	146
181.27	6	1_inacc	4	2.649687	c14.jpg	146
192.25	6	5_acc	3	2.399028	c6.jpg	146
201.77	6	1_acc	2	3.569743	c20.jpg	146
210.21	6	5_inacc	3	4.472548	c16.jpg	146
222.28	6	1_inacc	2	3.395096	c5.jpg	146
234.34	6	5_inacc	2	3.781221	c18.jpg	146
3.1	6	5_miss	NA	NA	c23.jpg	147
15.2	6	5_acc	1	3.093358	c15.jpg	147
26.1	6	5_inacc	1	3.101565	c24.jpg	147
35.7	6	1_inacc	3	5.097994	c19.jpg	147
44.5	6	1_inacc	2	3.146982	c6.jpg	147
53.6	6	1_inacc	1	2.98554	c17.jpg	147
64.2	6	1_inacc	1	4.920442	c16.jpg	147
74.5	6	5_inacc	1	4.342116	c3.jpg	147
82.5	6	5_inacc	3	4.366672	c22.jpg	147
91.7	6	5_acc	3	2.578025	c4.jpg	147
103	6	5_inacc	1	3.708855	c5.jpg	147
111.4	6	1_acc	4	3.659151	c11.jpg	147
122.4	6	1_acc	1	3.0754	c2.jpg	147
130.9	6	1_acc	1	4.07004	c1.jpg	147
142.2	6	1_inacc	3	3.992327	c10.jpg	147
154.3	6	5_inacc	1	4.282772	c12.jpg	147
164.2	6	5_acc	3	5.311745	c7.jpg	147
174.8	6	1_acc	2	4.658114	c21.jpg	147
184.7	6	1_acc	3	3.013814	c8.jpg	147
194.2	6	1_inacc	2	4.012369	c18.jpg	147
202.2	6	1_inacc	4	4.272915	c13.jpg	147
213.9	6	5_acc	1	5.273429	c20.jpg	147
222.7	6	5_acc	4	3.483052	c9.jpg	147
234.4	6	5_inacc	1	3.595169	c14.jpg	147
3.1	6	5_inacc	1	4.016541	c7.jpg	151
12.6	6	1_acc	1	3.839278	c8.jpg	151
21.1	6	5_acc	4	2.8591	c9.jpg	151
32.4	6	1_acc	3	1.942157	c13.jpg	151
41.3	6	5_acc	1	1.449309	c24.jpg	151
51.2	6	5_acc	2	1.81676	c23.jpg	151
60	6	5_acc	1	1.227627	c3.jpg	151
68	6	1_inacc	2	3.583327	c19.jpg	151
79	6	1_acc	2	1.344642	c18.jpg	151
88.5	6	1_acc	4	2.606203	c11.jpg	151
98.8	6	1_inacc	3	4.912212	c16.jpg	151
110.5	6	5_acc	4	2.013856	c4.jpg	151
121.5	6	5_acc	1	1.4449	c5.jpg	151
129.9	6	1_acc	1	1.748351	c21.jpg	151
141.3	6	5_inacc	3	4.462387	c14.jpg	151
153.4	6	1_acc	2	3.941306	c10.jpg	151
165.4	6	5_acc	4	3.126339	c15.jpg	151
174.6	6	1_acc	4	2.472273	c17.jpg	151
182.7	6	1_acc	3	2.885701	c2.jpg	151
191.8	6	1_inacc	1	3.434955	c1.jpg	151
202.5	6	5_acc	3	4.122072	c22.jpg	151
214.2	6	1_acc	3	2.18625	c6.jpg	151
224.1	6	5_acc	3	1.546086	c12.jpg	151
234.3	6	5_acc	2	1.319963	c20.jpg	151
3.07	6	5_acc	3	2.341347	c1.jpg	153
14.08	6	5_acc	1	2.32701	c6.jpg	153
23.97	6	5_inacc	4	2.90235	c8.jpg	153
34.59	6	1_inacc	3	1.458848	c9.jpg	153
43.75	6	1_inacc	2	1.216633	c22.jpg	153
52.17	6	1_inacc	2	2.327365	c12.jpg	153
62.78	6	1_inacc	2	2.16478	c20.jpg	153
71.57	6	1_inacc	1	1.053464	c5.jpg	153
81.82	6	5_inacc	2	2.191555	c16.jpg	153
93.15	6	5_acc	3	5.421233	c18.jpg	153
103.4	6	5_inacc	2	1.194969	c21.jpg	153
112.2	6	1_inacc	2	0.8302665	c4.jpg	153
123.54	6	5_acc	1	0.8442345	c19.jpg	153
132.72	6	1_inacc	2	1.756149	c3.jpg	153
144.78	6	5_inacc	2	2.926641	c17.jpg	153
156.48	6	5_inacc	4	1.499475	c13.jpg	153
164.54	6	1_acc	4	3.391412	c15.jpg	153
174.06	6	1_acc	2	1.52904	c24.jpg	153
185.76	6	5_inacc	4	1.468443	c10.jpg	153
194.2	6	1_inacc	2	1.78262	c14.jpg	153
202.26	6	5_acc	4	3.097814	c11.jpg	153
214.32	6	1_acc	4	3.500396	c23.jpg	153
225.3	6	1_inacc	2	0.9903605	c7.jpg	153
235.2	6	5_acc	1	0.9337647	c2.jpg	153
3.08	6	5_acc	1	2.109031	c4.jpg	156
13.35	6	5_acc	4	2.957271	c12.jpg	156
25.42	6	5_acc	4	3.016105	c9.jpg	156
