onset	duration	condition	stim	resp	RT
93.807	0	n/a	n/a	50	1.00699999999999
95.444	0	n/a	n/a	50	1.044
96.807	0	n/a	n/a	51	0.807000000000002
98.56	0	n/a	n/a	51	0.959999999999994
100.037	0	n/a	n/a	50	0.837000000000003
101.828	0	n/a	n/a	50	1.02799999999999
103.294	0	n/a	n/a	50	0.893999999999991
104.67	0	n/a	n/a	51	0.670000000000002
106.195	0	n/a	n/a	50	0.594999999999985
107.843	0	n/a	n/a	51	0.643000000000001
109.722	0	n/a	n/a	50	0.921999999999983
111.207	0	n/a	n/a	51	0.806999999999988
112.727	0	n/a	n/a	50	0.727000000000004
114.494	0	n/a	n/a	51	0.893999999999991
116.223	0	n/a	n/a	50	1.023
117.795	0	n/a	n/a	50	0.99499999999999
119.459	0	n/a	n/a	50	1.059
120.646	0	n/a	n/a	51	0.646000000000001
122.207	0	n/a	n/a	50	0.606999999999985
123.787	0	n/a	n/a	50	0.587000000000003
125.58	0	n/a	n/a	51	0.779999999999987
127.034	0	n/a	n/a	50	0.634
128.582	0	n/a	n/a	50	0.581999999999994
130.184	0	n/a	n/a	51	0.584000000000003
131.777	0	n/a	n/a	50	0.57699999999997
133.281	0	n/a	n/a	50	0.480999999999995
134.868	0	n/a	n/a	51	0.467999999999989
136.423	0	n/a	n/a	51	0.423000000000002
138.178	0	n/a	n/a	51	0.578000000000003
139.7	0	n/a	n/a	50	0.499999999999972
141.399	0	n/a	n/a	50	0.59899999999999
142.889	0	n/a	n/a	51	0.489000000000004
144.502	0	n/a	n/a	50	0.50200000000001
146.156	0	n/a	n/a	50	0.556000000000012
147.837	0	n/a	n/a	50	0.636999999999972
149.25	0	n/a	n/a	51	0.449999999999989
150.894	0	n/a	n/a	51	0.494
152.57	0	n/a	n/a	51	0.569999999999993
154.115	0	n/a	n/a	50	0.514999999999986
155.759	0	n/a	n/a	51	0.558999999999969
157.345	0	n/a	n/a	51	0.544999999999987
158.927	0	n/a	n/a	51	0.526999999999987
160.48	0	n/a	n/a	50	0.47999999999999
162.135	0	n/a	n/a	50	0.534999999999968
163.729	0	n/a	n/a	50	0.528999999999996
165.353	0	n/a	n/a	51	0.552999999999997
166.948	0	n/a	n/a	50	0.548000000000002
168.521	0	n/a	n/a	51	0.520999999999987
170.102	0	n/a	n/a	50	0.501999999999981
171.711	0	n/a	n/a	50	0.510999999999996
173.321	0	n/a	n/a	50	0.520999999999987
175.233	0	n/a	n/a	51	0.832999999999998
176.833	0	n/a	n/a	50	0.832999999999998
178.326	0	n/a	n/a	51	0.725999999999999
179.937	0	n/a	n/a	50	0.737000000000023
181.366	0	n/a	n/a	51	0.566000000000031
183.178	0	n/a	n/a	50	0.77800000000002
184.805	0	n/a	n/a	51	0.805000000000007
186.22	0	n/a	n/a	51	0.620000000000005
187.675	0	n/a	n/a	51	0.475000000000023
189.639	0	n/a	n/a	50	0.839000000000027
191.227	0	n/a	n/a	50	0.827000000000027
192.979	0	n/a	n/a	51	0.979000000000013
194.512	0	n/a	n/a	51	0.912000000000006
196.294	0	n/a	n/a	51	1.09400000000002
197.917	0	n/a	n/a	50	1.11700000000002
199.295	0	n/a	n/a	51	0.89500000000001
200.915	0	n/a	n/a	50	0.914999999999992
202.586	0	n/a	n/a	50	0.986000000000018
204.343	0	n/a	n/a	51	1.143
205.813	0	n/a	n/a	50	1.01300000000001
207.433	0	n/a	n/a	50	1.03299999999999
209.119	0	n/a	n/a	51	1.119
210.595	0	n/a	n/a	50	0.995000000000005
212.188	0	n/a	n/a	50	0.988
213.729	0	n/a	n/a	51	0.92900000000003
215.489	0	n/a	n/a	50	1.089
216.925	0	n/a	n/a	51	0.925000000000011
218.535	0	n/a	n/a	50	0.935000000000002
220.072	0	n/a	n/a	51	0.872000000000014
221.807	0	n/a	n/a	51	1.00700000000001
223.426	0	n/a	n/a	50	1.02599999999998
224.959	0	n/a	n/a	50	0.959000000000003
226.586	0	n/a	n/a	50	0.986000000000018
228.128	0	n/a	n/a	51	0.927999999999997
229.594	0	n/a	n/a	50	0.793999999999983
231.28	0	n/a	n/a	51	0.880000000000024
232.902	0	n/a	n/a	50	0.901999999999987
234.461	0	n/a	n/a	51	0.861000000000018
236.175	0	n/a	n/a	51	0.975000000000023
237.684	0	n/a	n/a	51	0.883999999999986
239.299	0	n/a	n/a	50	0.899000000000029
240.864	0	n/a	n/a	51	0.864000000000004
242.517	0	n/a	n/a	51	0.917000000000002
244.034	0	n/a	n/a	51	0.834000000000003
245.559	0	n/a	n/a	50	0.758999999999986
247.297	0	n/a	n/a	50	0.89700000000002
249.044	0	n/a	n/a	51	1.04400000000001
250.329	0	n/a	n/a	51	0.729000000000013
252.167	0	n/a	n/a	51	0.967000000000013
253.695	0	n/a	n/a	50	0.894999999999982
255.091	0	n/a	n/a	51	0.691000000000031
256.68	0	n/a	n/a	51	0.680000000000007
258.262	0	n/a	n/a	50	0.661999999999978
259.884	0	n/a	n/a	51	0.684000000000026
261.491	0	n/a	n/a	50	0.690999999999974
263.148	0	n/a	n/a	51	0.748000000000047
264.919	0	n/a	n/a	51	0.918999999999983
266.442	0	n/a	n/a	50	0.841999999999985
267.866	0	n/a	n/a	50	0.665999999999997
269.553	0	n/a	n/a	51	0.752999999999986
271.059	0	n/a	n/a	51	0.659000000000049
272.852	0	n/a	n/a	51	0.851999999999975
274.541	0	n/a	n/a	50	0.940999999999974
276.156	0	n/a	n/a	51	0.956000000000017
277.418	0	n/a	n/a	51	0.617999999999995
279.124	0	n/a	n/a	51	0.724000000000046
280.579	0	n/a	n/a	50	0.579000000000008
282.231	0	n/a	n/a	50	0.630999999999972
283.975	0	n/a	n/a	50	0.775000000000034
285.612	0	n/a	n/a	51	0.812000000000012
287.276	0	n/a	n/a	51	0.876000000000033
288.876	0	n/a	n/a	51	0.875999999999976
290.448	0	n/a	n/a	50	0.847999999999956
292.202	0	n/a	n/a	51	1.00200000000001
293.687	0	n/a	n/a	50	0.887
295.277	0	n/a	n/a	51	0.87700000000001
296.98	0	n/a	n/a	50	0.980000000000018
298.605	0	n/a	n/a	51	1.005
300.151	0	n/a	n/a	50	0.951000000000022
301.878	0	n/a	n/a	50	1.07799999999997
303.429	0	n/a	n/a	51	1.029
304.834	0	n/a	n/a	50	0.834000000000003
306.597	0	n/a	n/a	50	0.996999999999957
308.255	0	n/a	n/a	50	1.05500000000001
309.321	0	n/a	n/a	51	0.521000000000015
311.333	0	n/a	n/a	51	0.93300000000005
313.101	0	n/a	n/a	51	1.101
314.166	0	n/a	n/a	51	0.565999999999974
315.639	0	n/a	n/a	51	0.439000000000021
317.382	0	n/a	n/a	51	0.581999999999994
318.924	0	n/a	n/a	51	0.524000000000001
320.774	0	n/a	n/a	50	0.774000000000001
322.142	0	n/a	n/a	51	0.541999999999973
323.807	0	n/a	n/a	51	0.607000000000028
325.396	0	n/a	n/a	51	0.596000000000004
327.18	0	n/a	n/a	50	0.78000000000003
328.661	0	n/a	n/a	51	0.661000000000001
330.429	0	n/a	n/a	51	0.828999999999951
332.008	0	n/a	n/a	50	0.807999999999993
333.623	0	n/a	n/a	50	0.822999999999979
335.316	0	n/a	n/a	50	0.915999999999997
336.688	0	n/a	n/a	51	0.687999999999988
338.233	0	n/a	n/a	51	0.632999999999981
339.97	0	n/a	n/a	50	0.770000000000039
341.33	0	n/a	n/a	51	0.529999999999973
342.822	0	n/a	n/a	50	0.422000000000025
344.437	0	n/a	n/a	51	0.437000000000012
346.115	0	n/a	n/a	51	0.514999999999986
347.942	0	n/a	n/a	51	0.742000000000019
349.652	0	n/a	n/a	50	0.851999999999975
