onset	duration	event_value	event_name
173.849609375	0.1	10	trial_end
176.720703125	0.1	9	fixation_on
178.275390625	0.1	1	cue_left
179.388671875	0.1	11	target_left
179.703125	0.1	15	reaction_correct
180.392578125	0.1	10	trial_end
183.35546875	0.1	9	fixation_on
184.634765625	0.1	1	cue_left
189.755859375	0.1	11	target_left
190.015625	0.1	15	reaction_correct
190.759765625	0.1	10	trial_end
193.25390625	0.1	9	fixation_on
194.7890625	0.1	1	cue_left
195.912109375	0.1	12	target_right
196.4765625	0.1	15	reaction_correct
196.921875	0.1	10	trial_end
199.375	0.1	9	fixation_on
200.998046875	0.1	1	cue_left
204.119140625	0.1	11	target_left
204.4140625	0.1	15	reaction_correct
205.12890625	0.1	10	trial_end
207.26953125	0.1	9	fixation_on
208.3671875	0.1	2	cue_right
210.486328125	0.1	12	target_right
210.845703125	0.1	15	reaction_correct
211.4921875	0.1	10	trial_end
213.85546875	0.1	9	fixation_on
215.431640625	0.1	2	cue_right
216.544921875	0.1	12	target_right
