onset	duration	sample	trial_type	response_time	stim_file	value	HED
1186.5000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1193.1000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1195.2140000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1199.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1199.6000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1202.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1203.4000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1206.6000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1213.2000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1215.5300000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
1219.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1219.7000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1222.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1223.5000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1226.7000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1233.3000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1235.2540000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1239.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1240.2000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1243.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1244.0000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1247.1000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1253.8000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1256.0660000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1260.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1260.6000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1263.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1264.4000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1267.6000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1274.2000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1276.1900000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1280.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1281.2000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1284.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1285.0000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1288.1000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1294.8000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1298.9940000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1301.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1301.5000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1304.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1305.3000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1308.4000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1315.1000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1318.9260000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1321.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1321.7000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1324.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1325.5000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1328.7000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1335.3000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1336.8720000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1341.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1342.3000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1345.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1346.1000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1349.2000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1355.9000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1359.9060000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1362.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1362.8000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1365.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1366.6000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1369.7000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1376.4000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1381.0080000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
1382.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1383.3000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1386.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1387.0000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1390.2000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1396.9000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1401.1640000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1403.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1403.8000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1407.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1407.6000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1410.8000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1417.4000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1420.1300000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1423.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1423.9000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
1427.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1427.7000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
1430.9000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
1437.5000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
1441.5880000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
1444.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1444.4000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1447.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1448.2000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1451.4000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1458.0000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1460.1780000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1464.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1464.6000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1467.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1468.4000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1471.6000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1478.2000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1481.1880000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1484.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1485.1000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1488.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1488.9000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1492.1000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1498.8000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1502.9400000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
1505.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1505.2080000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1505.6000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1508.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1509.4000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1512.5000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1519.2000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1522.6660000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1525.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1526.0000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1529.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1529.8000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1533.0000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1539.6000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1541.3380000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1545.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1546.3000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1549.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1550.1000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1553.2000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1559.9000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1562.4100000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1566.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1566.5000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1569.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1570.3000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1573.4000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1580.1000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1582.7800000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1586.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1586.7000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1589.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1590.5000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1593.7000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1600.4000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1602.5720000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1606.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1607.1000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1610.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1610.9000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1614.1000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1620.7000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1624.9280000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
1627.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1627.4000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1630.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1631.2000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1634.4000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1641.0000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1646.0180000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1647.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1647.9000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1651.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1651.7000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1654.9000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1661.5000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1664.7120000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
1668.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1668.3000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1671.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1672.2000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1675.3000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1682.0000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1683.9840000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1688.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1688.8000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1692.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1692.6000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1695.8000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1702.4000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1704.4080000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1708.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1709.2000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1712.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1713.1000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1716.2000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1722.9000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1724.0500000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1729.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1729.7000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1732.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1733.5000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1736.6000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1743.3000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1746.3700000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
1749.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1749.8000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1753.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1753.6000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1756.8000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1763.4000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1766.2860000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1769.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1769.9000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1773.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1773.7000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1776.9000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1783.5000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1785.7280000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1790.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1790.4000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1793.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1794.2000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1797.4000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1804.1000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
