onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
2240.4312	10	female_high	8	22404312	3	1	2	female_high/female_high_003_regress.hdf5
2250.5222	10	male_high	5	22505222	86	1	2	male_high/male_high_086_regress.hdf5
2260.5918	10	male_mid	4	22605918	81	1	2	male_mid/male_mid_081_regress.hdf5
2270.6613	10	male_low	3	22706613	29	1	2	male_low/male_low_029_regress.hdf5
2280.7309	10	female_mid	7	22807309	97	1	2	female_mid/female_mid_097_regress.hdf5
2290.8005	10	male_high	5	22908005	79	1	2	male_high/male_high_079_regress.hdf5
2300.8701	10	female_low	6	23008701	78	1	2	female_low/female_low_078_regress.hdf5
2310.9397	10	male_mid	4	23109397	69	1	2	male_mid/male_mid_069_regress.hdf5
2321.0093	10	female_mid	7	23210093	4	1	2	female_mid/female_mid_004_regress.hdf5
2331.0789	10	female_high	8	23310789	1	1	2	female_high/female_high_001_regress.hdf5
2341.1485	10	male_low	3	23411485	10	1	2	male_low/male_low_010_regress.hdf5
2351.218	10	male_mid	4	23512180	79	1	2	male_mid/male_mid_079_regress.hdf5
2361.2876	10	male_low	3	23612876	44	1	2	male_low/male_low_044_regress.hdf5
2371.3572	10	male_high	5	23713572	109	1	2	male_high/male_high_109_regress.hdf5
2381.4268	10	female_low	6	23814268	30	1	2	female_low/female_low_030_regress.hdf5
2391.4964	10	female_high	8	23914964	97	1	2	female_high/female_high_097_regress.hdf5
2401.566	10	female_mid	7	24015660	59	1	2	female_mid/female_mid_059_regress.hdf5
2411.6356	10	female_low	6	24116356	29	1	2	female_low/female_low_029_regress.hdf5
2421.7052	10	male_low	3	24217052	25	1	2	male_low/male_low_025_regress.hdf5
2431.7748	10	male_high	5	24317748	77	1	2	male_high/male_high_077_regress.hdf5
2441.8443	10	female_mid	7	24418443	111	1	2	female_mid/female_mid_111_regress.hdf5
2451.9353	10	male_mid	4	24519353	77	1	2	male_mid/male_mid_077_regress.hdf5
2462.0049	10	female_high	8	24620049	71	1	2	female_high/female_high_071_regress.hdf5
2472.0744	10	male_low	3	24720744	82	1	2	male_low/male_low_082_regress.hdf5
2482.144	10	male_mid	4	24821440	15	1	2	male_mid/male_mid_015_regress.hdf5
2492.2136	10	female_high	8	24922136	68	1	2	female_high/female_high_068_regress.hdf5
2502.3045	10	male_high	5	25023045	102	1	2	male_high/male_high_102_regress.hdf5
2512.3741	10	female_mid	7	25123741	108	1	2	female_mid/female_mid_108_regress.hdf5
2522.4437	10	female_low	6	25224437	69	1	2	female_low/female_low_069_regress.hdf5
2532.5133	10	male_high	5	25325133	91	1	2	male_high/male_high_091_regress.hdf5
2542.5829	10	female_low	6	25425829	116	1	2	female_low/female_low_116_regress.hdf5
2552.6525	10	male_low	3	25526525	108	1	2	male_low/male_low_108_regress.hdf5
2562.7221	10	female_high	8	25627221	30	1	2	female_high/female_high_030_regress.hdf5
2572.7917	10	male_mid	4	25727917	6	1	2	male_mid/male_mid_006_regress.hdf5
2582.8612	10	female_mid	7	25828612	78	1	2	female_mid/female_mid_078_regress.hdf5
2592.9308	10	male_high	5	25929308	2	1	2	male_high/male_high_002_regress.hdf5
2603.0004	10	female_mid	7	26030004	21	1	2	female_mid/female_mid_021_regress.hdf5
2613.07	10	male_mid	4	26130700	0	1	2	male_mid/male_mid_000_regress.hdf5
2623.1396	10	male_low	3	26231396	21	1	2	male_low/male_low_021_regress.hdf5
2633.2092	10	female_high	8	26332092	29	1	2	female_high/female_high_029_regress.hdf5
2643.2788	10	female_low	6	26432788	24	1	2	female_low/female_low_024_regress.hdf5
2653.3484	10	male_low	3	26533484	47	1	2	male_low/male_low_047_regress.hdf5
2663.418	10	male_mid	4	26634180	32	1	2	male_mid/male_mid_032_regress.hdf5
