onset	duration	sample	type	value
817.351666666667	n/a	980823	UPPT001	4
817.351666666667	0	980823	gamble	n/a
817.374166666667	0	980850	LIGHT	n/a
820	10	984001	trial	n/a
821.351666666667	n/a	985623	frontpanel trigger	16
821.351666666667	n/a	985623	UPPT001	16
821.351666666667	0	985623	lose	n/a
821.359166666667	0	985632	LIGHT	n/a
824.3625	n/a	989236	frontpanel trigger	1
824.3625	n/a	989236	UPPT001	1
824.3625	0	989236	Answer	n/a
824.376666666667	0	989253	LIGHT	n/a
826.289166666667	n/a	991548	frontpanel trigger	4
826.289166666667	n/a	991548	UPPT001	4
826.289166666667	0	991548	gamble	n/a
826.310833333333	0	991574	LIGHT	n/a
830	10	996001	trial	n/a
830.289166666667	n/a	996348	frontpanel trigger	8
830.289166666667	n/a	996348	UPPT001	8
830.289166666667	0	996348	win	n/a
830.3125	0	996376	LIGHT	n/a
833.298333333333	n/a	999959	frontpanel trigger	1
833.298333333333	n/a	999959	UPPT001	1
833.298333333333	0	999959	Answer	n/a
833.314166666667	0	999978	LIGHT	n/a
834.625	n/a	1001551	frontpanel trigger	4
834.625	n/a	1001551	UPPT001	4
834.625	0	1001551	gamble	n/a
834.6475	0	1001578	LIGHT	n/a
838.625	n/a	1006351	frontpanel trigger	16
838.625	n/a	1006351	UPPT001	16
838.625	0	1006351	lose	n/a
838.6325	0	1006360	LIGHT	n/a
840	10	1008001	trial	n/a
840.615	n/a	1008739	frontpanel trigger	32
840.615	n/a	1008739	UPPT001	32
840.615	0	1008739	ratemood	n/a
840.633333333333	0	1008761	LIGHT	n/a
843.615	n/a	1012339	frontpanel trigger	64
843.615	n/a	1012339	UPPT001	64
843.615	0	1012339	slider	n/a
843.634166666667	0	1012362	LIGHT	n/a
850	10	1020001	trial	n/a
850.139166666667	n/a	1020168	frontpanel trigger	1
850.139166666667	n/a	1020168	UPPT001	1
850.139166666667	0	1020168	Answer	n/a
850.153333333333	0	1020185	LIGHT	n/a
851.316666666667	n/a	1021581	frontpanel trigger	4
851.316666666667	n/a	1021581	UPPT001	4
851.316666666667	0	1021581	gamble	n/a
851.3375	0	1021606	LIGHT	n/a
855.375833333333	n/a	1026452	frontpanel trigger	16
855.375833333333	n/a	1026452	UPPT001	16
855.375833333333	0	1026452	lose	n/a
855.389166666667	0	1026468	LIGHT	n/a
858.325833333333	n/a	1029992	frontpanel trigger	1
858.325833333333	n/a	1029992	UPPT001	1
858.325833333333	0	1029992	Answer	n/a
858.34	0	1030009	LIGHT	n/a
859.669166666667	n/a	1031604	frontpanel trigger	4
859.669166666667	n/a	1031604	UPPT001	4
859.669166666667	0	1031604	gamble	n/a
859.690833333333	0	1031630	LIGHT	n/a
859.7	0	1031641	HeadMotion	n/a
860	10	1032001	trial	n/a
863.669166666667	n/a	1036404	frontpanel trigger	8
863.669166666667	n/a	1036404	UPPT001	8
863.669166666667	0	1036404	win	n/a
863.6925	0	1036432	LIGHT	n/a
865.658333333333	n/a	1038791	frontpanel trigger	32
865.658333333333	n/a	1038791	UPPT001	32
865.658333333333	0	1038791	ratemood	n/a
865.676666666667	0	1038813	LIGHT	n/a
868.658333333333	n/a	1042391	frontpanel trigger	64
868.658333333333	n/a	1042391	UPPT001	64
868.658333333333	0	1042391	slider	n/a
868.6775	0	1042414	LIGHT	n/a
870	10	1044001	trial	n/a
875.1825	n/a	1050220	frontpanel trigger	1
875.1825	n/a	1050220	UPPT001	1
875.1825	0	1050220	Answer	n/a
875.196666666667	0	1050237	LIGHT	n/a
876.325833333333	n/a	1051592	frontpanel trigger	4
876.325833333333	n/a	1051592	UPPT001	4
876.325833333333	0	1051592	gamble	n/a
876.3475	0	1051618	LIGHT	n/a
880	10	1056001	trial	n/a
880.325833333333	n/a	1056392	frontpanel trigger	16
880.325833333333	n/a	1056392	UPPT001	16
880.325833333333	0	1056392	lose	n/a
880.349166666667	0	1056420	LIGHT	n/a
883.335833333333	n/a	1060004	frontpanel trigger	1
883.335833333333	n/a	1060004	UPPT001	1
883.335833333333	0	1060004	Answer	n/a
883.35	0	1060021	LIGHT	n/a
885.345833333333	n/a	1062416	frontpanel trigger	4
885.345833333333	n/a	1062416	UPPT001	4
885.345833333333	0	1062416	gamble	n/a
885.3675	0	1062442	LIGHT	n/a
889.345	n/a	1067215	frontpanel trigger	8
889.345	n/a	1067215	UPPT001	8
889.345	0	1067215	win	n/a
889.3525	0	1067224	LIGHT	n/a
890	10	1068001	trial	n/a
892.355833333333	n/a	1070828	frontpanel trigger	1
892.355833333333	n/a	1070828	UPPT001	1
892.355833333333	0	1070828	Answer	n/a
892.37	0	1070845	LIGHT	n/a
893.7325	n/a	1072480	frontpanel trigger	4
893.7325	n/a	1072480	UPPT001	4
893.7325	0	1072480	gamble	n/a
893.754166666667	0	1072506	LIGHT	n/a
