name	subjs	links	readme	events	title	tasks	modalities	contact	notes
ds002748	72		yes	no		rest			
ds004595	53		yes	no					
ds004647	44		yes	no		gng,wmgng			
ds004644	24		yes	no					
ds004448	56		yes	yes		smrbmi			
ds004447	22		yes	yes		smrbmi			
ds004444	30		yes	yes		smrbmi			
ds004446	30		yes	yes		smrbmi			
ds004401	1		yes	no					
ds003789	32		yes	no		encoding,retrieval			
ds004632	11		yes	no					
ds004631	38		yes	no		listen			
ds004482	23		yes	no					
ds004483	19		yes	no					
ds004496	30		yes	yes		coco,floc,imagenet,prf			
ds004187	3		yes	no					
ds004598	9		no	no					
ds004563	40		yes	yes		touchdecoding			
ds003029	35		yes	no					
ds002893	49		yes	yes		AuditoryVisualShift			
ds004592	27		yes	yes		documentary,gradCPTface,gradCPTscene,sitcomep1,sitcomep2			
ds004284	18		yes	no					
ds004597	27		yes	no					
ds004603	37		yes	no					
ds004488	30		yes	yes		action			
ds004584	149		yes	yes		Rest			
ds001486	132		yes	no		Mult,Num,Rhyming,Sub			
ds004590	4		yes	no					
ds004588	42		yes	yes		unnamed			
ds004511	45		yes	no					
ds003655	156		yes	no					
ds004580	147		yes	yes		Simon			
ds004579	139		yes	yes		IntervalTiming			
ds004577	103		yes	no					
ds003216	3		yes	no					
ds004574	146		yes	yes		Oddball			
ds004196	4		yes	no					
ds004564	2		yes	no					
ds001510	31		yes	no		perception,recall,schemarecall			
ds002338	17		yes	no		1dNF,2dNF,MIpost,MIpre			
ds004532	110		yes	yes		PST			
ds003670	25		yes	no					
ds004295	26		yes	yes		task			
ds004386	48		yes	no		rest			
ds004471	40		yes	no					
ds004561	23		yes	no					
ds004513	20		yes	no					
ds004510	3		yes	no		AttendFemaleSpeaker,AttendMaleSpeaker,ImaginedSpeech,laluna,partlycloudy,presto,sintel			
ds004560	2		yes	no					
ds004357	16		yes	yes		rsvp			
ds004557	35		yes	yes		feedback			
ds004556	53		yes	yes		feedback			
ds004554	16		yes	yes		picturenaming			
ds004271	2		yes	yes		AttendFixGazeCenterFS,AttendStimGazeCenterFS,Calib,GazeCCW,GazeCW,GazeColumns,GazeLines			
ds004553	50		yes	no		nonsoc,social			
ds004552	1		yes	no					
ds004551	114		yes	no					
ds004465	15		yes	no					
ds004102	32		yes	no					
ds003774	20		yes	no					
ds004301	11		yes	no					
ds004169	991		yes	no					
ds004544	38		no	no					
ds004505	25		yes	no					
ds000105	6		yes	no		objectviewing			
ds003691	29		yes	no		bars,ecc,feedBES,polar,retmap,sensoryT,tarmap			
ds004017	21		yes	no					
ds004440	49		yes	no					
ds004349	57		yes	yes		expo,rest			
ds004529	34		yes	no		frapps,localizer			
ds004360	52		no	no					
ds004521	34		yes	yes		Postcues			
ds003468	26		yes	no					
ds004520	33		yes	yes		Retrocue			
ds004519	40		yes	yes		ProAntiCue			
ds004478	6		yes	no					
ds004484	20		yes	no					
ds004493	16		yes	no					
ds004080	74		yes	yes					
ds004509	20		yes	no					
ds004450	3		yes	no					
ds004312	20		yes	yes		foodpicture,tasteimagine			
ds004502	48		no	no					
ds004498	1		no	no					
ds002879	32		yes	yes		AANonWord,AAWord,VVNonWord,VVWord			
ds004473	8		yes	no		SlowFast			
ds004369	41		yes	no					
ds004368	39		yes	yes		task			
ds004406	23		no	no		HSR			
ds004441	24		yes	no					
ds004398	1		yes	yes		loc,post,rew,struct			
ds004408	19		yes	no					
ds004400	25		yes	yes		NumberComparison			
ds004393	32		yes	no					
ds004285	78		yes	no					
ds004367	40		yes	yes		rdk			
ds000011	14		yes	no		Classificationprobewithoutfeedback,Dualtaskweatherprediction,Singletaskweatherprediction,tonecounting			
ds002979	1		no	no					
ds004359	57		yes	no					
ds004347	24		yes	no					
ds003602	118		yes	no					
ds004339	2		yes	no					
ds000158	217		yes	no		passivelistening			
ds003633	12		yes	no					
ds004331	30		yes	no		localizer,main			
ds004330	30		yes	no					
ds004286	23		yes	no					
ds001506	3		yes	no					
ds002578	2		yes	yes					
ds004302	71		yes	yes		speech			
ds004317	50		yes	no					
ds001832	16		no	no		rest			
ds004315	50		yes	no					
ds003887	24		yes	no		movement			
ds003885	24		yes	no		movement			
ds003801	20		yes	no					
ds003753	25		yes	no					
ds003710	13		yes	no					
ds003638	57		yes	no					
ds004299	123		yes	no		extinction,reacquisition,rest,training			
ds000031	1		yes	yes		breathhold,dots,language,nback,objects,rest,retinotopy,spatialwm			
ds003659	3		no	no					
ds004213	5		yes	no					
ds004276	19		yes	no					
ds004283	4		yes	no					
ds004280	2		yes	no		hyper			
ds004278	30		yes	no					
ds002989	40		yes	yes		DDbid			
ds004264	21		yes	no					
ds004262	21		yes	no					
ds004256	53		yes	no					
ds004259	64		no	no		numrisk			
ds003836	35		no	no		tsl			
ds004127	8		yes	no					
ds004254	15		yes	no					
ds004145	49		yes	no					
ds004252	1		yes	no					
ds002643	80		no	no					
ds004081	35		no	no		unequalVariance			
ds003876	39		yes	no					
ds004228	70		no	yes		piper			
ds004015	36		yes	no					
ds002790	226		yes	yes		emomatching,restingstate,stopsignal,workingmemory			
ds003354	10		yes	no		empatom			
ds004226	28		no	no		sitrep			
ds004219	10		no	no					
ds004217	67		no	no		mentalstates			
ds003570	40		yes	no					
ds004186	992		yes	no					
ds004200	20		yes	yes		temporalscaling			
ds004065	20		yes	no		lum			
ds003999	29		yes	no					
ds004068	48		yes	no		onevol,rest			
ds000248	2		yes	no					
ds003688	63		yes	no					
ds004166	71		yes	no					
ds004117	23		yes	yes		WorkingMemory			
ds004161	24		yes	no					
ds004152	21		yes	no					
ds003061	13		yes	yes		P300			
ds004142	10		yes	no		loc,nf			
ds004130	1		yes	no					
ds004131	1		yes	no					
ds001927	23		yes	no					
ds004144	66		yes	no					
ds004129	991		yes	no					
ds004128	32		yes	yes		DG			
ds001379	1		yes	no		encode,forget,loci,recall			
ds004094	37		yes	yes		group,induct,learn,parse,struct			
ds003233	25		yes	no					
ds004086	58		yes	yes		RecogConf			
ds004105	17		yes	yes		DriveRandomSound			
ds004118	156		yes	yes		Drive			
ds004119	21		yes	yes		GuardDuty			
ds004120	109		yes	yes		DriveWithSpeedChange			
ds004122	32		yes	yes		Drive			
ds004123	29		yes	yes		DriveWithComplexity			
ds004121	21		yes	yes		DriveWithTaskAudio			
ds003922	14		yes	no					
ds004106	27		yes	yes		GuardDuty			
ds004114	646		yes	no		rest			
ds004116	209		yes	no		rest			
ds004109	31		yes	no					
ds004107	9		yes	no					
ds004097	8		yes	no		MID,SST,nback,rest			
ds004101	9		yes	no					
ds004033	18		yes	no					
ds003696	30		yes	no		affordance,localizer			
ds003929	9		yes	no					
ds004042	20		yes	no		movie,recall			
ds003401	35		yes	no		asrt			
ds004092	27		yes	no		heat			
ds002908	13		no	no					
ds003352	18		yes	no					
ds001499	4		yes	yes		5000scenes,localizer			
ds004075	29		no	no					
ds004021	32		no	no		rest,rotation,washout			
ds003380	12		yes	no					
ds003374	9		yes	no					
ds004067	80		yes	no		sjt			
ds003993	2		yes	no					
ds001796	64		yes	no					
ds004056	29		yes	no					
ds003831	74		yes	no		identify1,identify2,modulate1,modulate2,rest			
ds003965	1		yes	yes		face,flocBLOCKED			
ds004043	20		yes	no		tempex			
ds004040	13		yes	no					
ds004038	31		yes	no					
ds004018	16		yes	yes		rsvp			
ds002606	10		yes	no		locAPepi3d,locAPsms16iso,locPAepi3d5vol,locPAsms16iso5vol			
ds002603	23		yes	yes		wm			
ds002550	22		yes	no					
ds000204	1		no	no					
ds000133	26		yes	no		rest			
ds003988	56		yes	no		read,rest			
ds003959	6		yes	no					
ds003969	98		yes	no					
ds003950	42		no	no					
ds003972	8		yes	no		bodymotor			
ds003967	60		no	no					
ds003987	23		yes	no					
ds003340	20		yes	yes		foodpicture,tastemap			
ds002741	30		yes	no		caricatures,localizer			
ds002675	24		yes	no		language			
ds001848	52		no	yes		ParallelAdaptation			
ds003427	4		yes	no		checkerboard			
ds003381	21		no	no					
ds003357	32		yes	no		rest			
ds002738	36		yes	yes		epi,rest,reward			
ds002684	4		no	no					
ds003176	34		yes	no		EyeMag			
ds001371	47		no	no					
ds002169	33		no	no		CCD,loca			
ds000232	10		yes	no					
ds004010	24		yes	yes		MultisensoryDetectionTask			
ds003521	35		yes	no		movie			
ds004009	33		no	no					
ds004006	41		no	no		pair,random			
ds004007	25		no	no		listen			
ds004000	43		yes	no					
ds003949	284		yes	no					
ds003592	301		yes	no					
ds003798	117		no	no					
ds003990	6		yes	no					
ds003989	3		yes	no					
ds003097	928		yes	no		moviewatching			
ds001421	1		yes	no					
ds003505	20		yes	no					
ds003850	1		yes	no		vis			
ds003555	30		yes	no		hfo			
ds003858	12		yes	yes		MID			
ds003849	92		no	no					
ds003825	50		yes	yes		rsvp			
ds003805	1		yes	no					
ds003822	25		yes	no					
ds003830	37		no	no					
ds003800	13		yes	no					
ds003810	10		yes	yes		MIvsRest			
ds003799	48		yes	no					
ds003812	12		yes	yes					
ds003787	44		yes	no					
ds003791	49		no	no		PSAP			
ds003782	40		no	no		effortmixedgambles,efforttraining,probabilitymixedgambles			
ds003821	284		yes	no					
ds003778	32		yes	no					
ds003777	4		no	no		locAPSTARC,locAPSTARCps,locAPSTARCtsm,locAPcovSoS,locPASoS5vol			
ds003524	13		yes	no		movie			
ds002814	21		yes	no		categorySelectivity			
ds002873	1		no	no					
ds003430	7		yes	no					
ds003499	90		yes	yes		freq1,freq2,freqreports1,freqreports2,memtest1,memtest2,pairedassociates1,pairedassociates2			
ds003772	32		yes	yes		changepoint			
ds002843	166		yes	yes		itc,rest,risk			
ds002835	26		yes	yes		prospection			
ds003758	15		yes	yes		beads			
ds003768	33		yes	no					
ds003721	35		yes	yes		BI,Film,React			
ds000240	63		yes	no					
ds003751	40		yes	no					
ds003720	5		yes	no					
ds003459	34		yes	yes		audortho,audphono,audsem,audsynt,visortho,visphono,vissem,vissynt			
ds002886	56		yes	yes		Syllogisms,Transitive			
ds002424	79		yes	yes		SLD,SLI,SSD,SSI,VLD,VLI,VSD,VSI			
ds003397	15		yes	no		checkerboard			
ds003646	77		yes	no					
ds003590	1		yes	no					
ds003007	29		yes	no		rest			
ds003739	30		yes	no					
ds003661	5		yes	no					
ds003752	3		no	no					
ds001541	16		yes	no					
ds003464	18		yes	no		bold			
ds003416	97		yes	no					
ds003550	38		yes	yes		RepMem1,RepMem2B			
ds003554	41		yes	yes		RepYo1,RepYo2			
ds003553	19		yes	yes		FacesHousesTE27			
ds003722	10		yes	yes		MIvsRest			
ds003694	28		no	no					
ds003716	1		yes	no					
ds003338	20		yes	no		None,recall,view			
ds003711	35		no	yes					
ds003714	1		no	no					
ds003709	51		yes	no					
ds003707	36		yes	no		obj,scene			
ds003701	96		yes	no		cpro,rest			
ds003708	1		yes	yes		ccep			
ds003703	34		yes	yes		listeningToSpeech			
ds003702	47		yes	no					
ds002870	132		no	no					
ds002868	16		no	no					
ds003126	58		yes	no		read			
ds003690	75		yes	no					
ds003345	75		yes	no					
ds003419	47		yes	no					
ds003574	18		yes	yes		game,rest			
ds003682	28		yes	no					
ds003453	39		yes	no					
ds003437	12		yes	no					
ds003455	1		yes	no					
ds003011	4		yes	no		rest			
ds003669	47		no	no		detectdiscrim			
ds003481	145		yes	no					
ds003392	12		yes	no					
ds003647	34		yes	no		whiskerasl,whiskerepi			
ds003343	20		yes	no					
ds003487	24		yes	yes		PIT,hedonic,instrulearning,pavconditioning			
ds003639	29		yes	no					
ds001785	19		yes	yes		adapt,thrdown,thrup			
ds003604	322		yes	yes		Gram,Phon,Plaus,Sem			
ds001161	2		no	no		effortmixedgambles,efforttraining,probabilitymixedgambles			
ds003500	38		yes	yes		Conj19Sel,Conj1Inh,Conj9Inh,Feat19Sel,Feat1Inh,Feat9Inh			
ds003094	16		yes	no		analogy			
ds003498	20		yes	no					
ds002328	1		yes	no					
ds003606	29		yes	no					
ds003520	17		yes	no					
ds003548	16		yes	no		emotionalfaces,rest			
ds003563	1		yes	no					
ds003151	20		yes	no					
ds003599	133		no	no					
ds001942	10		yes	no		auditory,rest			
ds002185	22		yes	yes		odors			
ds003396	0		no	no					
ds003017	25		yes	no		movie			
ds002674	1		yes	no					
ds001894	188		yes	yes		AANonWord,AAWord,AVNonWord,AVWord,VVNonWord,VVWord			
ds003083	26		yes	yes		Mult,Num,Rhyming,Sub			
ds003076	17		no	yes		Syllogisms,Transitive			
ds003540	32		yes	no		rest			
ds003568	51		yes	no					
ds003569	25		yes	yes		LDT			
ds003565	156		yes	no					
ds003511	40		yes	yes		Recall			
ds003436	55		yes	yes		anim			
ds003552	19		yes	no					
ds003037	53		yes	no					
ds003346	145		yes	no					
ds003545	24		yes	no					
ds003542	34		yes	no					
ds003523	91		yes	no					
ds003522	96		yes	no					
ds003519	27		yes	no					
ds003469	81		yes	no					
ds003518	110		yes	no					
ds003517	17		yes	no					
ds002366	34		yes	yes		emoregRun1,emoregRun2,emoregRun3,emoregRun4			
ds003509	56		yes	no					
ds002168	48		yes	no		mst			
ds003474	122		yes	no					
ds003506	56		yes	no					
ds003495	24		yes	yes		emomatching,restingstate			
ds003027	23		no	no					
ds003454	24		no	yes		rapm			
ds003490	50		yes	no					
ds002307	19		yes	no					
ds001353	29		yes	no					
ds002995	18		yes	yes		tastemap			
ds002685	13		yes	no		ArchiEmotional,ArchiSocial,ArchiSpatial,ArchiStandard,Attention,Audi,Audio,Bang,ClipsTrn,ClipsVal,ColumbiaCards,ContRing,Discount,DotPatterns,Enumeration,ExpRing,HcpEmotion,HcpGambling,HcpLanguage,HcpMotor,HcpRelational,HcpSocial,HcpWm,Lec1,Lec2,MCSE,MTTNS,MTTWE,MVEB,MVIS,Moto,PreferenceFaces,PreferenceFood,PreferenceHouses,PreferencePaintings,RSVPLanguage,Raiders,RestingState,SelectiveStopSignal,Self,StopSignal,Stroop,TwoByTwo,VSTM,Visu,WardAndAllport,WedgeAnti,WedgeClock			
ds003483	21		no	no					
ds003417	18		yes	no					
ds003466	21		yes	no		motor,rest			
ds003478	122		yes	no					
ds003012	29		yes	no		doubleauction			
ds003463	22		yes	no					
ds002422	46		no	no					
ds000231	9		yes	no		flavor			
ds003458	23		yes	no					
ds003452	13		yes	no					
ds002634	20		yes	yes		ArtVoc,Factorial			
ds003446	1		yes	no					
ds003445	1		yes	no					
ds003444	1		yes	no					
ds003442	1		yes	no					
ds003443	1		yes	no					
ds003441	2		yes	no					
ds003440	1		yes	no					
ds003439	1		yes	no					
ds003438	1		yes	no					
ds003433	18		yes	no					
ds003434	18		yes	no					
ds002813	38		yes	yes		fintest,imtest,train			
ds003424	28		yes	no		resting,taste			
ds003192	7		no	no		breathhold			
ds003421	20		yes	no					
ds003420	23		yes	no					
ds002116	57		no	yes		Adaptation			
ds002158	20		yes	yes		main,rest			
ds002608	41		yes	no		rest			
ds001780	1		no	no					
ds002672	5		yes	no		locLREye			
ds002602	56		yes	no		read,rest			
ds002647	91		yes	yes		IHG,Oddball			
ds001814	35		yes	yes		ARC			
ds002241	31		yes	no		drawing,recognition			
ds002134	31		yes	no					
ds002382	61		yes	no					
ds001847	32		no	no		photo			
ds001838	53		no	yes		Adaptation			
ds001839	6		yes	no					
ds003082	2		yes	no					
ds001734	108		yes	no		MGT			
ds003342	19		yes	yes		grasp,localiser			
ds003170	16		yes	no		changepoint			
ds003325	33		yes	no					
ds003194	15		yes	no					
ds003195	10		yes	no					
ds003242	96		yes	yes		CIC,midloc			
ds003190	19		yes	no					
ds003095	38		yes	no		run1,run2,run3,run4			
ds002549	1		no	no					
ds001840	24		no	yes		viewclips			
ds001241	24		yes	no					
ds000217	41		yes	yes		localizer,picturetest,routelearning			
ds002041	25		yes	yes		TD,rest			
ds002735	11		yes	no		rest			
ds003145	147		yes	no		verbgen			
ds003136	25		yes	yes		affect,infant			
ds003146	33		yes	no		vocal			
ds003148	60		yes	no					
ds003114	49		yes	no					
ds002306	6		yes	no					
ds002898	27		yes	no					
ds003085	39		no	no		happy,rest,sadln,sadsh			
ds003090	159		yes	no		rest			
ds003104	1		yes	no					
ds003103	30		yes	no					
ds003098	1		no	no					
ds003089	20		yes	no					
ds003078	6		yes	no					
ds001419	1		yes	no					
ds000249	26		yes	yes		genInstrAv			
ds001454	24		yes	no		rest,satellite			
ds000254	13		yes	no		bilateralfingertapping			
ds001545	30		yes	no		movie			
ds000200	14		yes	no		olfactory			
ds000157	30		yes	no		passiveimageviewing			
ds000009	24		yes	no		balloonanalogrisktask,discounting,emotionalregulation,stopsignal			
ds002936	3		yes	no					
ds002785	216		yes	yes		anticipation,emomatching,faces,gstroop,restingstate,workingmemory			
ds003028	26		yes	yes		Mult,Num,Rhyming,Sub			
ds003008	0		no	no					
ds001415	21		yes	yes		maplistening			
ds000149	15		no	no		picturemanualresponse,picturenback			
ds003047	11		yes	no					
ds003059	15		yes	no					
ds001747	92		yes	no					
ds002990	20		yes	no					
ds002766	3		yes	no					
ds002609	49		yes	no		rest			
ds001399	3		yes	no					
ds001761	4		yes	no					
ds002033	43		no	yes		ChangeDetection			
ds001883	21		yes	no					
ds001653	29		no	no					
ds001417	36		yes	no		probe,responsetosnacks			
ds000206	6		yes	no					
ds001849	20		no	no		tmseegrest			
ds002905	18		yes	yes		languagelocalizer,maindesign			
ds003023	39		no	no		happy,rest,sadln,sadsh			
ds002833	20		no	no					
ds002791	23		no	no					
ds002994	56		no	no		fLoc,fribBids			
ds002351	25		yes	yes		LDT			
ds002717	59		yes	no					
ds002322	26		yes	no					
ds001619	11		yes	no					
ds002776	26		yes	yes		motorseq			
ds003005	0		no	no					
ds002982	2		yes	no					
ds002941	26		yes	yes		Mult,Num,Rhyming,Sub			
ds002940	24		yes	no					
ds002938	30		yes	no		1back,effort			
ds002939	2		no	no					
ds002885	2		yes	no					
ds002912	2		no	no					
ds002862	71		yes	no		read			
ds002711	15		yes	no		smiley			
ds002156	1		yes	no		rest			
ds001919	254		yes	no					
ds002393	19		yes	no					
ds002872	39		yes	yes		illusion			
ds002363	22		no	no					
ds002896	38		yes	no		rest			
ds002894	18		yes	yes		languagelocalizer,maindesign			
ds001348	28		no	no		effort1,effort2			
ds002841	29		yes	no		localizer,masscolor,massfriction,masstask			
ds002842	22		yes	no		silentreading			
ds002844	6		yes	no					
ds002809	17		no	no		loc,varyingISI			
ds002770	86		no	no					
ds002712	25		yes	no					
ds002683	30		yes	no		1back,effort			
ds002596	19		yes	no		d1,d2			
ds002574	3		yes	no		prf			
ds002551	7		yes	no					
ds002547	26		yes	no					
ds002543	49		yes	no		RLlearningphase,RLtestphase,Stopsignal,ppaffalomapper			
ds002419	48		yes	yes		taste1,taste2			
ds002411	29		yes	yes		ProgramCategorization			
ds002380	143		yes	no					
ds002330	66		no	no		rest			
ds002320	82		yes	no					
ds002311	23		no	no		loc,mot,postmemory,prememory			
ds002294	40		no	no		roletrait			
ds002250	20		yes	no					
ds002237	16		no	no		loc,postmemory,prememory,rsvp			
ds002149	20		yes	no		condassoc			
ds002040	1		no	no					
ds002014	1		yes	no		languageproduction			
ds002006	30		no	no		ColorDots,FoodChoice,Memory			
ds001981	24		yes	no		efs			
ds001882	20		yes	no					
ds001868	1		yes	no					
ds001784	14		yes	no		afmsit,rest			
ds001769	16		yes	no		movie			
ds001614	31		no	no		learn,localizer,respTrain,test			
ds001608	21		no	yes		viewclips			
ds001583	21		no	no		proactive,reactive			
ds001563	1		yes	no					
ds001534	42		no	no		calorieimage,foodimage			
ds001529	38		no	no					
ds001525	17		yes	no		localizer,repetition			
ds001517	24		yes	no		pred,shape			
ds001511	13		yes	no		CMIYC,scrambled			
ds001497	10		yes	no					
ds001461	81		yes	no					
ds001408	52		yes	no					
ds001110	37		yes	no		MerlinAudio,MerlinFreerecall,MerlinMovie,SherlockAudio,SherlockFreerecall,SherlockMovie			
ds001019	35		no	no		navlearn			
ds000233	12		yes	no		beh,tax			
ds000003	13		yes	no		rhymejudgment			
ds002731	59		yes	no					
ds002726	29		yes	no					
ds002739	24		yes	no		main			
ds002733	1		yes	no		rest			
ds002737	1		yes	no					
ds002743	3		yes	no					
ds002295	7		yes	no		checkerboard,fixation,prf			
ds002793	28		yes	no					
ds002797	22		yes	no		Main			
ds002105	24		yes	no					
ds002614	1		yes	no					
ds002773	19		yes	no		localizer,retrieval,updating			
ds002727	23		yes	no		silentreading			
ds002734	22		yes	no		main			
ds002749	29		yes	no		rest			
ds002750	3		yes	no					
ds002725	21		yes	no					
ds002724	10		yes	no					
ds002722	19		yes	no					
ds002720	18		yes	no					
ds002732	30		no	no		rating			
ds002715	8		no	no					
ds002702	11		yes	no		floc,ring			
ds002655	35		yes	no					
ds002513	65		no	no					
ds002522	48		yes	yes		CRF			
ds001131	54		yes	no		milky,scrambled,synonyms,vodka			
ds002374	1		yes	no					
ds002372	1		yes	no					
ds002367	1		yes	no					
ds002358	1		yes	no					
ds002355	29		no	no		localizer,masscolor,massfriction,masstask			
ds002274	1		yes	no					
ds002270	19		yes	no		viewingfoodhighres,viewingfoodlowres			
ds002181	226		yes	no					
ds002165	1		no	no					
ds001491	20		yes	no		FlavorRun1,FlavorRun2,FlavorRun3,FlavorRun4,images			
ds001430	31		yes	no		loc,phase1,phase2,phase3			
ds001302	23		no	no					
ds001297	33		no	no		faceidentityoddball			
ds001293	7		no	no					
ds001235	12		yes	no		1back			
ds001233	18		yes	no		cuedSFM			
ds001228	24		yes	no		collaborativetask			
ds001218	30		no	no		mentalstates			
ds001167	40		yes	no		effortmixedgambles,efforttraining,probabilitymixedgambles			
ds001107	0		no	no					
ds000256	24		yes	no		restbaseline,restfixationadaptive,restfixationfixed,restfixationnofeedback,restmovieadaptive,restmoviefixed,restmovienofeedback			
ds000253	20		yes	no		localizer,run1,run2,run3,run4			
ds000243	120		yes	no		rest			
ds000238	35		yes	no		med8,quick4n,quick6,slow10,slow12			
ds000223	19		yes	yes		mag			
ds000203	26		yes	no		visualimageryfalsememory			
ds000171	39		yes	no		music,nonmusic			
ds000170	15		yes	no		TrainedHandTrainedSequence,TrainedHandUntrainedSequence,UntrainedHandTrainedSequence,UntrainedHandUntrainedSequence			
ds000140	33		yes	no		heatpainwithregulationandratings			
ds000121	28		yes	no		incentiveantisaccade			
ds000119	73		yes	no		visualguidedsaccade			
ds000115	99		yes	no		letter0backtask,letter1backtask,letter2backtask			
ds000110	18		yes	no		IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment			
ds000108	34		yes	no		Emotionregulation			
ds000053	59		yes	no		baseline,posttest,training			
ds000007	20		yes	no		stopmanual,stopvocal,stopword			
ds000006	14		yes	yes		livingnonlivingdecisionwithplainormirrorreversedtext			
ds000236	18		yes	no		rest			
ds000235	4		yes	no		rest			
ds000222	79		yes	no					
ds001345	12		yes	no		memory			
ds002316	36		yes	no		Beast,epi,rest,reward			
ds000210	31		yes	no		cuedSGT,rest			
ds002293	1		yes	no					
ds001946	24		yes	no		actions,loc			
ds001725	40		no	no					
ds002179	1		yes	no					
ds002154	24		no	no					
ds002155	20		no	no					
ds002076	13		yes	no					
ds002153	1		no	no					
ds001482	33		yes	no		vocal			
ds002207	7		yes	no					
ds002242	35		yes	no		stt			
ds001928	40		yes	no					
ds001439	18		yes	no					
ds001722	19		yes	no					
ds002218	18		yes	yes		Experiment			
ds000216	7		yes	no		rest			
ds002087	1		yes	no					
ds001818	50		no	no		localizer,probe,responsetostim,training			
ds002016	4		yes	no					
ds001745	24		no	no		ImageLoc,StudyTest,loc			
ds002011	22		yes	yes		Overlap,ppalocalizer			
ds002000	21		yes	no					
ds001972	33		yes	no					
ds001890	30		yes	no					
ds001720	255		no	no					
ds001978	14		yes	no					
ds001984	15		yes	no					
ds001971	20		yes	yes		AudioCueWalkingStudy			
ds001966	29		yes	no		doubleauction			
ds001242	52		yes	no					
ds001299	19		yes	no					
ds001875	9		yes	no		rest			
ds001810	47		yes	yes		attentionalblink			
ds001945	34		yes	no					
ds001926	32		yes	no		localizer,post,study,test			
ds000174	42		yes	no					
ds000172	13		yes	no		rest			
ds000168	35		yes	no		OP			
ds001912	17		yes	no					
ds000148	49		yes	no		figure2backwith1backlures			
ds000228	155		yes	no		pixar			
ds001923	14		yes	no		forage			
ds001921	15		yes	no		forage			
ds001762	31		no	no		forage			
ds000237	13		yes	no		MemorySpan			
ds001132	16		yes	no		freerecall,sherlockPart1,sherlockPart2			
ds001635	16		yes	no					
ds001145	24		yes	no		watchmovie			
ds001748	62		yes	no					
ds001229	27		yes	no		em,wm			
ds001740	25		no	yes		convers			
ds001590	32		yes	yes		loc,ser,sim			
ds001775	24		no	no		RP,restudy			
ds000212	39		yes	no					
ds001771	40		yes	yes		identification,localizer			
ds001521	41		yes	no		localizer,study			
ds001554	23		no	no		listening			
ds001232	21		yes	no		phase1,phase2			
ds001621	20		yes	no		commstruc			
ds001715	34		no	no		dts			
ds000220	26		yes	no					
ds001743	12		no	no					
ds001728	1		yes	no					
ds001652	8		no	no					
ds001168	22		yes	no		rest			
ds001634	19		yes	no					
ds001612	24		no	no		loc,main			
ds001354	28		yes	no					
ds001618	36		no	no		autobio,nback,self			
ds000241	12		yes	no					
ds001607	32		no	no		learn,loc,test			
ds001600	1		yes	no		rest			
ds001597	20		yes	yes		cuedMFM			
ds001595	1		no	no		rest			
ds001591	2		yes	no					
ds001344	15		yes	no		eyemovement,workingmemory			
ds001365	35		no	no					
ds001576	36		no	no		dnms,learn			
ds001566	1		no	no					
ds001338	22		yes	no		story1,story2,story3			
ds001551	34		no	no		trust			
ds001555	3		yes	no		FullFovAttentionTask,FullFovNoAttentionTask,HalfFovNoTask			
ds001553	3		yes	yes		checkerboard			
ds001547	5		yes	no					
ds000244	12		yes	no		ArchiEmotional,ArchiSocial,ArchiSpatial,ArchiStandard,ClipsTrn01,ClipsTrn02,ClipsTrn03,ClipsTrn04,ClipsTrn05,ClipsTrn06,ClipsTrn07,ClipsTrn08,ClipsTrn09,ClipsTrn10,ClipsTrn11,ClipsTrn12,ClipsVal01,ClipsVal02,ClipsVal03,ClipsVal04,ClipsVal05,ClipsVal06,ClipsVal07,ClipsVal08,ClipsVal09,ContRing,ExpRing,HcpEmotion,HcpGambling,HcpLanguage,HcpMotor,HcpRelational,HcpSocial,HcpWm,RSVPLanguage00,RSVPLanguage01,RSVPLanguage02,RSVPLanguage03,RSVPLanguage04,RSVPLanguage05,WedgeAnti,WedgeClock			
ds001021	1		yes	no		BREATHHOLD,CHECKERBOARD,DMNTRACKINGTEST,DMNTRACKINGTRAIN,MASK,MORALDILEMMA,MSIT,PEER1,PEER2,rest			
ds001450	2		no	no					
ds001357	18		no	no		familiarity,viewing			
ds001339	14		no	no		iaps			
ds000239	3		yes	no					
ds000213	26		yes	no		socialcomparison			
ds000214	36		yes	yes		Cyberball			
ds000229	15		yes	no		flavor			
ds000164	28		yes	yes		stroop			
ds000245	45		yes	no		rest			
ds000205	11		yes	no		functionallocalizer,view			
ds000120	26		yes	no		antisaccadetaskwithfixedorder			
ds000144	45		yes	no		emotionalfaces			
ds000234	5		yes	no		motorphotic			
ds000218	19		yes	no		ONSflavourtask			
ds000219	21		yes	no		RPflavourtask			
ds000202	95		yes	no					
ds000255	2		yes	no		viewFigure,viewRandom			
ds000138	16		yes	no		postheatstimulation,preheatstimulation			
ds001247	43		no	no					
ds001178	23		no	no					
ds001037	1		no	no					
ds000122	17		yes	no		visualattentiontask			
ds000017	8		yes	no		probabilisticclassification,selectivestopsignaltask			
ds000107	49		yes	no		onebacktask			
ds000101	21		yes	no		simon			
ds000052	13		yes	no		reversalweatherprediction,weatherprediction			
ds000051	13		yes	no		abstractconcretejudgment			
ds000008	14		yes	no		conditionalstopsignal,stopsignal			
ds000005	16		yes	no		mixedgamblestask			
