old_id	new_id	key	reason
cit_001034	cit_001033	url:https://bids-specification.readthedocs.io/en/stable/03-modality-agnostic-files.html	normalised url variant
cit_001036	cit_001033	url:https://bids-specification.readthedocs.io/en/stable/03-modality-agnostic-files.html	normalised url variant
cit_001038	cit_001033	url:https://bids-specification.readthedocs.io/en/stable/03-modality-agnostic-files.html	normalised url variant
cit_001037	cit_001035	url:https://bids-specification.readthedocs.io/en/stable/02-common-principles.html	normalised url variant
cit_001394	cit_001040	url:https://mne.tools/stable/overview/datasets_index.html	normalised url variant
cit_001046	cit_001044	url:https://www.nick-ramsey.eu	normalised url variant
cit_001049	cit_001045	doi:10.1038/s41597-022-01173-0	normalised doi variant
cit_001048	cit_001047	doi:10.1101/2021.06.09.447733	normalised doi variant
cit_001059	cit_001058	url:https://www.nitrc.org/projects/tsbta_2019	normalised url variant
cit_001063	cit_001060	doi:10.3389/fnhum.2020.578119/full	normalised doi variant
cit_001066	cit_001065	doi:10.1101/639237v1	normalised doi variant
cit_001070	cit_001069	doi:10.1073/pnas.2116944119	normalised doi variant
cit_001096	cit_001095	url:https://gin.g-node.org/USZ_NCH/Human_Amygdala_MUA_sEEG_FearVideo	normalised url variant
cit_001100	cit_001099	doi:10.1101/2021.12.31.474501v1	normalised doi variant
cit_001104	cit_001103	url:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6384530.2	normalised url variant
cit_001109	cit_001108	url:https://www.rogue-research.com/tms/brainsight-tms	normalised url variant
cit_001111	cit_001110	url:https://www.biorxiv.org/content/early/2018/03/16/283234	normalised url variant
cit_001115	cit_001114	doi:10.1101/2021.08.11.455923	normalised doi variant
cit_001117	cit_001116	doi:10.1101/2021.08.11.455923v1.full	normalised doi variant
cit_001124	cit_001119	url:https://www.sony.com/electronics/research-award-program	normalised url variant
cit_001123	cit_001120	url:https://www.nserc-crsng.gc.ca/index_eng.asp	normalised url variant
cit_001125	cit_001121	url:https://www.sshrc-crsh.gc.ca/home-accueil-eng.aspx	normalised url variant
cit_001129	cit_001127	url:https://www.cs.binghamton.edu/~lijun/Research/3DFE/3DFE_Analysis.html	normalised url variant
cit_001130	cit_001128	url:https://www.dropbox.com/sh/87bsb74t0lpakr2/AADFvJs7G3uzYP80pL2QLGKxa?dl=0	normalised url variant
cit_001134	cit_001132	doi:10.1101/2020.08.10.243998v1	normalised doi variant
cit_001153	cit_001152	url:https://www.dancerdesign.co.uk	normalised url variant
cit_001156	cit_001155	doi:10.1101/2021.03.16.435599v1	normalised doi variant
cit_001160	cit_001159	url:https://www.sciencedirect.com/science/article/pii/S240584402030270X	normalised url variant
cit_001167	cit_001166	doi:10.1101/2020.09.29.318287v2	normalised doi variant
cit_001169	cit_001168	doi:10.1101/487892v3	normalised doi variant
cit_001171	cit_001170	doi:10.1101/2020.12.27.424510v1	normalised doi variant
cit_001173	cit_001172	doi:10.1101/2021.02.13.431073v4	normalised doi variant
cit_001388	cit_001192	doi:10.1016/j.neuroimage.2019.01.003	normalised doi variant
cit_001202	cit_001201	doi:10.1523/jneurosci.2178-11.2011	normalised doi variant
cit_001204	cit_001203	doi:10.1101/2020.01.22.915330v3	normalised doi variant
cit_001206	cit_001205	doi:10.1101/2020.03.26.008714v2	normalised doi variant
cit_001215	cit_001213	url:https://www.colelab.org	normalised url variant
cit_001218	cit_001216	doi:10.1101/2021.01.24.428020v1.full	normalised doi variant
cit_001223	cit_001222	doi:10.1038/s41467-019-09789-4	normalised doi variant
cit_001229	cit_001228	doi:10.1101/2020.04.08.031534v1	normalised doi variant
cit_001242	cit_001232	url:https://www.sciencedirect.com/science/article/pii/S1878929317301494	normalised url variant
cit_001243	cit_001233	url:https://www.sciencedirect.com/science/article/pii/S1053811919309504	normalised url variant
cit_001237	cit_001236	doi:10.1162/jocn_a_01477	normalised doi variant
cit_001241	cit_001240	url:https://www.sciencedirect.com/science/article/pii/S187892932030147X	normalised url variant
cit_001247	cit_001246	doi:10.1038/s41598-017-13064-1	normalised doi variant
cit_001248	cit_001246	doi:10.1038/s41598-017-13064-1	normalised doi variant
cit_001257	cit_001254	doi:10.1038/sdata201732	normalised doi variant
cit_001271	cit_001269	doi:10.1016/j.neuroimage.2020.117091	normalised doi variant
cit_001501	cit_001273	url:https://caseforge.co	normalised url variant
cit_001275	cit_001274	url:https://www.sciencedirect.com/science/article/pii/S1053811921002421	normalised url variant
cit_001277	cit_001276	doi:10.1101/2021.03.04.433969v1	normalised doi variant
cit_001289	cit_001286	url:https://www.sciencedirect.com/science/article/abs/pii/S2451902221000215?via%3Dihub=	normalised url variant
cit_001290	cit_001288	doi:10.1101/2020.07.15.20154708v1	normalised doi variant
cit_001294	cit_001293	doi:10.1038/tp201792	normalised doi variant
cit_001296	cit_001295	doi:10.1523/jneurosci.0851-20.2020	normalised doi variant
cit_001298	cit_001297	doi:10.1016/j.neuroimage.2019.116040	normalised doi variant
cit_001299	cit_001297	doi:10.1016/j.neuroimage.2019.116040	normalised doi variant
cit_001308	cit_001307	doi:10.1101/2021.01.15.421909v1	normalised doi variant
cit_001310	cit_001309	url:https://www.sciencedirect.com/science/article/pii/S1053811921000318	normalised url variant
cit_001325	cit_001320	doi:10.1093/cercor/bhaa182	normalised doi variant
cit_001323	cit_001321	doi:10.1007/s00429-020-02180-w	normalised doi variant
