onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
361.401610357	3.75	FingerSeq	motorSequence	2.0	3.35	2.1841	11.0	n/a	n/a	7	n/a	6.0	0.0	1.0	6.0	57.0	357.0	0.0	0.000210357	-0.01299849
365.15145	3.75	FingerSeq	motorSequence	2.0	3.35	2.0074	11.0	n/a	n/a	7	n/a	6.0	0.0	2.0	6.0	57.0	360.0	3.75	3.75005	2.988518
368.90252999999996	3.75	FingerSeq	motorSequence	2.0	3.35	2.0163	11.0	n/a	n/a	7	n/a	6.0	0.0	3.0	6.0	57.0	364.0	7.5	7.50113	6.987847
372.6518	3.75	FingerSeq	motorSequence	2.0	3.35	1.8031	11.0	n/a	n/a	7	n/a	6.0	0.0	4.0	6.0	57.0	368.0	11.25	11.2504	10.98861
376.4029000000001	3.75	FingerSimple	motorSequence	1.0	3.35	2.2549	11.0	n/a	n/a	7	n/a	6.0	0.0	5.0	6.0	57.0	372.0	15.0	15.0015	14.98864
380.1515	3.75	FingerSimple	motorSequence	1.0	3.35	2.6011	11.0	n/a	n/a	7	n/a	6.0	0.0	6.0	6.0	57.0	375.0	18.75	18.7501	17.9882
383.9018	3.75	FingerSimple	motorSequence	1.0	3.35	2.218	11.0	n/a	n/a	7	n/a	6.0	0.0	7.0	6.0	57.0	379.0	22.5	22.5004	21.98889
387.6519	3.75	FingerSimple	motorSequence	1.0	3.35	2.086	11.0	n/a	n/a	7	n/a	6.0	0.0	8.0	6.0	57.0	383.0	26.25	26.2505	25.98755
391.249387081	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
396.249387081	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	1.0	n/a	57.0	392.0	0.0	0.000287081	-0.01330145
398.24982	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	2.0	n/a	57.0	394.0	2.0	2.0007200000000003	1.984655
400.25079	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	3.0	n/a	57.0	396.0	4.0	4.00169	3.985923
402.24949	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	4.0	n/a	57.0	398.0	6.0	6.00039	5.986748
404.2493	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	5.0	n/a	57.0	400.0	8.0	8.0002	7.984656
406.2503	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	6.0	n/a	57.0	402.0	10.0	10.0012	9.987108
408.2493	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	7.0	n/a	57.0	404.0	12.0	12.0002	11.98465
410.2504	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	8.0	n/a	57.0	406.0	14.0	14.0013	13.98631
412.2503	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	9.0	n/a	57.0	408.0	16.0	16.0012	15.987
414.2491	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	10.0	n/a	57.0	410.0	18.0	18.0	17.984920000000006
416.2504	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	11.0	n/a	57.0	412.0	20.0	20.0013	19.98661
418.2502	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	12.0	n/a	57.0	414.0	22.0	22.0011	21.98528
420.251	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	13.0	n/a	57.0	416.0	24.0	24.0019	23.98505
422.2496	2.0	Objects	checkerBoard	2.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	14.0	n/a	57.0	418.0	26.0	26.0005	25.98493
424.2505	2.0	Objects	checkerBoard	1.0	1.6	n/a	12.0	n/a	n/a	7	n/a	n/a	n/a	15.0	n/a	57.0	420.0	28.0	28.0014	27.98583
426.4131734	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
431.4131734	2.0	VisualSearchHard	visualSearch	2.0	1.6	0.59131	13.0	12.0	n/a	7	n/a	1.0	0.0	1.0	1.0	57.0	427.0	0.0	0.032873400000000004	-0.1121685
433.38115	2.0	VisualSearchHard	visualSearch	2.0	1.6	0.69424	13.0	12.0	n/a	7	n/a	1.0	0.0	2.0	1.0	57.0	429.0	2.0	2.00085	1.88751
