onset	duration	subject	task	trialHit	rt	acc
329.137160793	0	1	face	noHit	None	1
331.104288713	0	1	face	noHit	None	1
333.070459478	0	1	face	noHit	None	1
335.037455785	0	1	face	noHit	1.49001089406	0
337.003560584	0	1	face	noHit	None	1
338.970676335	0	1	face	noHit	None	1
340.936823724	0	1	face	Hit	1.49003523118	1
342.903840205	0	1	face	noHit	None	1
344.869936679	0	1	face	noHit	None	1
346.837040901	0	1	face	Hit	1.49010439983	1
348.803143139	0	1	face	noHit	None	1
350.770255367	0	1	face	noHit	None	1
352.736385464	0	1	face	noHit	None	1
354.703435889	0	1	house	noHit	None	1
356.669569508	0	1	house	noHit	None	1
358.636654197	0	1	house	noHit	None	1
360.602720249	0	1	house	noHit	None	1
362.569900685	0	1	house	noHit	None	1
364.5359709	0	1	house	Hit	1.4900304278	1
366.503046943	0	1	house	noHit	None	1
368.469169355	0	1	house	noHit	None	1
370.436328016	0	1	house	noHit	None	1
372.402371652	0	1	house	noHit	None	1
374.369434565	0	1	house	Hit	1.49004996154	1
376.335535522	0	1	house	noHit	None	1
378.302610924	0	1	house	noHit	None	1
380.268701314	0	1	house	noHit	None	1
382.235864778	0	1	house	noHit	None	1
384.201964133	0	1	house	noHit	None	1
386.169040496	0	1	house	noHit	None	1
388.135128324	0	1	house	noHit	None	1
390.102156653	0	1	face	noHit	None	1
392.0693531	0	1	face	noHit	None	1
394.035413709	0	1	face	noHit	None	1
396.001555974	0	1	face	noHit	1.49001505699	0
397.968647708	0	1	face	noHit	None	1
399.934722406	0	1	face	Hit	1.49048738921	1
401.901786601	0	1	face	noHit	None	1
403.867916698	0	1	face	noHit	None	1
405.835015156	0	1	face	noHit	None	1
407.801151018	0	1	face	noHit	None	1
409.768231864	0	1	face	noHit	None	1
411.734302079	0	1	face	noHit	None	1
413.701396054	0	1	face	noHit	None	1
415.667507578	0	1	face	noHit	None	1
417.634604115	0	1	face	noHit	None	1
419.600705072	0	1	face	noHit	None	1
421.567805452	0	1	face	Hit	1.49005092222	1
423.534937854	0	1	face	noHit	None	1
425.501041372	0	1	house	Hit	None	0
427.467137206	0	1	house	noHit	None	1
429.43430067	0	1	house	noHit	None	1
431.400332458	0	1	house	noHit	None	1
433.36737936	0	1	house	noHit	None	1
435.333508497	0	1	house	noHit	None	1
437.300609196	0	1	house	noHit	None	1
439.266737372	0	1	house	noHit	None	1
441.233879381	0	1	house	noHit	None	1
443.20090739	0	1	house	noHit	None	1
445.167029162	0	1	house	noHit	None	1
447.133087208	0	1	house	noHit	None	1
449.100165172	0	1	house	noHit	None	1
451.06629623	0	1	house	noHit	None	1
453.033378997	0	1	house	noHit	None	1
454.999575702	0	1	house	noHit	None	1
456.966577452	0	1	house	Hit	1.49005092222	1
458.933670146	0	1	house	noHit	None	1
460.899785193	0	1	face	noHit	None	1
