onset	duration	value	response	rt	good	Acu	estim	trial
519.8454	1	12	1	488	1	1	2 1 2	4
523.2377	1	12	3	533.8	1	0	1 1 2	5
525.9316	1	12	2	1011.6	1	1	1 1 2	6
528.0269	1	11	3	444.3	1	1	0 0 3	1
530.8205	1	11	3	419.1	1	1	0 0 3	2
533.7639	1	11	2	394.2	1	1	0 2 0	3
537.4389	1	12	1	419.6	1	0	3 1 1	1
541.3135	1	12	2	553	1	0	3 2 2	2
543.8743	1	12	2	963.9	1	1	1 1 2	3
545.9031	1	12	3	685	1	1	3 1 1	4
549.0792	1	12	3	635.9	1	1	3 2 2	5
550.9749	1	12	1	520.3	1	1	3 3 1	6
553.303	1	12	1	420.8	1	1	3 3 1	7
555.5147	1	12	2	987.6	1	0	2 3 2	8
558.3084	1	11	3	495.6	1	1	0 0 3	1
561.8005	1	11	2	373.7	1	1	0 2 0	2
564.5609	1	11	1	396.5	1	1	1 0 0	3
566.9887	1	11	3	397.6	1	1	0 0 3	4
569.3168	1	11	2	385.4	1	1	0 2 0	5
572.2269	1	12	3	939.5	1	1	1 3 1	1
575.2534	1	12	2	1034.7	1	0	3 1 3	2
578.7288	1	12	2	835.5	1	1	1 1 2	3
582.4537	1	12	1	597.6	1	1	3 1 3	4
586.1121	1	11	3	409.5	1	1	0 0 3	1
588.3737	1	11	2	391.6	1	1	0 2 0	2
592.0155	1	11	3	436.3	1	1	0 0 3	3
595.1916	1	11	1	365	1	1	1 0 0	4
598.9165	1	12	3	1061.5	1	1	2 3 2	1
600.9951	1	12	1	453.4	1	1	3 3 1	2
604.8032	1	12	2	465.1	1	0	2 1 2	3
608.0791	1	12	2	648.5	1	1	2 3 3	4
610.058	1	12	1	509.8	1	1	3 1 3	5
612.12	1	11	2	422.4	1	1	0 2 0	1
615.4125	1	11	1	382.6	1	1	1 0 0	2
618.8215	1	11	1	382.8	1	1	1 0 0	3
621.5154	1	11	3	413.2	1	1	0 0 3	4
625.3401	1	11	3	418.2	1	1	0 0 3	5
628.0672	1	11	1	381.5	1	1	1 0 0	6
630.811	1	11	3	392.9	1	1	0 0 3	7
632.7733	1	11	3	504	1	1	0 0 3	8
635.118	1	12	1	688.4	1	0	1 1 2	1
638.3274	1	12	2	604.9	1	1	2 1 1	2
641.7529	1	12	1	468.3	1	0	2 3 3	3
643.8815	1	11	1	402.4	1	1	1 0 0	1
645.9934	1	11	3	368.3	1	1	0 0 3	2
649.6684	1	11	1	382.5	1	1	1 0 0	3
653.2603	1	11	2	404.8	1	1	0 2 0	4
657.0517	1	11	2	369.3	1	1	0 2 0	5
660.3775	1	11	3	365.4	1	1	0 0 3	6
663.088	1	12	2	806.4	1	0	2 3 2	1
664.9671	1	12	3	952	1	0	1 1 2	2
667.1289	1	12	3	729.7	1	1	1 3 1	3
670.3715	1	12	2	851	1	1	1 1 2	4
673.7639	1	12	2	789.5	1	0	1 3 1	5
676.0254	1	12	2	696.8	1	1	3 3 2	6
679.0519	1	12	3	785.1	1	1	2 3 2	7
682.8766	1	11	1	428.9	1	1	1 0 0	1
684.7458	1	11	2	453.6	1	1	0 2 0	2
687.3498	1	11	2	348.6	1	1	0 2 0	3
690.2599	1	11	3	360.1	1	1	0 0 3	4
693.4028	1	11	1	380.3	1	1	1 0 0	5
696.7286	1	11	1	341.3	1	1	1 0 0	6
699.5722	1	12	2	637.4	1	1	2 3 3	1
702.1497	1	12	1	585.1	1	1	3 3 1	2
704.4611	1	12	2	603.6	1	0	3 1 1	3
706.7227	1	12	2	497.6	1	1	2 1 1	4
708.768	1	12	2	617.9	1	1	3 3 2	5
710.83	1	11	2	452.1	1	1	0 2 0	1
714.4386	1	11	1	401.9	1	1	1 0 0	2
717.3653	1	11	3	355.5	1	1	0 0 3	3
720.1091	1	11	1	475.4	1	1	1 0 0	4
723.1023	1	11	3	354.8	1	1	0 0 3	5
725.9625	1	11	3	420.1	1	1	0 0 3	6
728.8227	1	11	1	384.3	1	1	1 0 0	7
730.9346	1	12	3	874.3	1	1	3 1 1	1
733.6118	1	12	2	862.5	1	0	1 3 1	2
736.655	1	12	1	548.6	1	1	2 2 1	3
738.717	1	11	1	498.2	1	1	1 0 0	1
